device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
cpu,4.477231920696795,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3894}",2,True,50,0
cpu,4.226540966890752,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3649}",3,True,50,0
cpu,4.276857963763177,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3688}",4,True,50,0
cpu,4.226064372807741,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3655}",5,True,50,0
cpu,4.27587082143873,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3704}",6,True,50,0
cpu,4.376358758658171,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3798}",7,True,50,0
cpu,4.2256816402077675,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3656}",8,True,50,0
cpu,4.276319954544306,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3704}",9,True,50,0
cpu,4.325277800671756,,npb_ft,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 3772, ""intensity_undefined"": 1}",10,True,50,0
cpu,17.407133541069925,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16301}",1,True,50,0
cpu,17.456099033355713,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16355}",2,True,50,0
cpu,17.50598697643727,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16410}",3,True,50,0
cpu,17.4061251655221,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16294}",4,True,50,0
cpu,17.50789991952479,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16365}",5,True,50,0
cpu,17.306615084409714,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16212}",6,True,50,0
cpu,17.45617644302547,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16337}",7,True,50,0
cpu,17.55741337221116,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16459}",8,True,50,0
cpu,17.506712237372994,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16361}",9,True,50,0
cpu,17.505607965402305,,npb_lu,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 1000, ""no_freq_reading"": 16377}",10,True,50,0
cpu,0.06662362441420555,,dgemm_n2048,run_failed,,1,False,50,
cpu,0.034172830171883106,,dgemm_n2048,run_failed,,2,False,50,
cpu,0.03380206413567066,,dgemm_n2048,run_failed,,3,False,50,
cpu,0.034273224882781506,,dgemm_n2048,run_failed,,4,False,50,
cpu,0.0344308540225029,,dgemm_n2048,run_failed,,5,False,50,
cpu,0.06695725955069065,,dgemm_n2048,run_failed,,6,False,50,
cpu,0.06561618857085705,,dgemm_n2048,run_failed,,7,False,50,
cpu,0.03418238926678896,,dgemm_n2048,run_failed,,8,False,50,
cpu,0.03435748256742954,,dgemm_n2048,run_failed,,9,False,50,
cpu,0.03430946171283722,,dgemm_n2048,run_failed,,10,False,50,
gpu,4.934826376847923,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 394, ""pmu_degraded"": 3885, ""intensity_undefined"": 72, ""no_freq_reading"": 142, ""gpu_telemetry"": 825}",1,True,5,825
gpu,4.928902945481241,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 388, ""pmu_degraded"": 3886, ""intensity_undefined"": 71, ""no_freq_reading"": 141, ""gpu_telemetry"": 750}",2,True,5,750
gpu,4.929958765394986,,gpu_dgemm_n4096,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 394, ""pmu_degraded"": 3885, ""intensity_undefined"": 76, ""no_freq_reading"": 136, ""gpu_telemetry"": 752}",3,True,5,752
