ipc_cv_pct,ipc_mean,kernel_ref,n_gpu_telemetry,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
12.296235960701171,1.7717120518355651,npb_cg,,6650,6721,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6650}",3,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep03
14.685671119926333,1.7706817191376663,npb_cg,,6616,6687,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6616}",4,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep04
14.200378120682009,1.7634850174655718,npb_cg,,6706,6777,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6706}",5,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep05
13.64885091619598,1.754590801932516,npb_cg,,6726,6797,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6726}",6,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep06
12.569042172518191,1.7673606523620027,npb_cg,,6671,6742,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6671}",7,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep07
12.900191985814304,1.7882233782808767,npb_cg,,6605,6676,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6605}",8,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep08
14.056767353139414,1.7794693340506313,npb_cg,,6641,6712,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6641}",9,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep09
12.214726443369743,1.740796042023223,npb_cg,,6762,6833,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 70, ""ok"": 6762}",10,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_cg__REF__rep10
36.1889305151815,3.3178723947122646,npb_ft,,3664,4165,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3664}",1,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep01
40.10394704907711,3.174420713012692,npb_ft,,3894,4395,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""ok"": 3894}",2,/home/latorresn/hyperion-results/sweeps/repetitions/runs/sweep_repetitions__npb_ft__REF__rep02
