kernel_ref,freq_level_id,phase_label_train,operational_intensity_uncore_real,performance_flops_per_s
dual_cholesky_cpu_N1024,F8,compute_bound,4.733800885255392,5271726887.9367485
cpu_rajaperf_apps_mass3dpa,F8,compute_bound,37.16049456528469,14756386746.132685
phasic_p100,F8,compute_bound,22.404035039375024,74595187310.55775
cpu_rajaperf_apps_edge3d,F8,compute_bound,168.35077347753997,8077833814.123826
phasic_p010,F8,compute_bound,77.1179964019514,46859216241.696045
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,92.7722139309722,9098296510.5298
phasic_p1000,F8,compute_bound,22.61422626309545,74710127369.0161
rodinia_lavamd_omp,F8,compute_bound,100.3949621300737,4319589915.868584
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,66.23799306226084,9121248376.545557
npb_bt,F8,compute_bound,6.413591525682887,6417019383.509257
npb_bt,F8,compute_bound,6.654239798532754,6459949036.701932
npb_bt,F8,compute_bound,6.24954027166337,6420856159.700981
cpu_rajaperf_basic_pi_reduce,F8,compute_bound,233.1748050567108,6885471761.58638
npb_bt,F8,compute_bound,6.316279464624656,6699237958.151868
npb_bt,F8,compute_bound,6.414459221013246,6421368132.877644
phasic_p1000,F8,compute_bound,3091.1963548041617,74666631506.8989
cpu_rajaperf_apps_fir,F8,compute_bound,21.713074903270503,7248348059.270778
npb_bt,F8,compute_bound,6.560795870774016,6458692420.7110615
npb_bt,F8,compute_bound,6.830393286873125,6449986129.739445
npb_bt,F8,compute_bound,6.889233374193148,6708469257.62085
rajaperf_polybench_3mm_omp,F8,compute_bound,46.48968592396993,2400713046.2823625
npb_bt,F8,compute_bound,6.330470788132588,6431733620.68088
npb_bt,F8,compute_bound,6.999450502169307,6455189407.073542
cpu_rajaperf_apps_fir,F8,compute_bound,19.68688629010779,7253617100.188337
npb_bt,F8,compute_bound,6.264593953596756,6417624087.332454
cpu_rajaperf_apps_mass3dpa,F8,compute_bound,37.09645514830482,14780389542.976683
dual_stencil_cpu_N256,F8,compute_bound,96.13572101790764,2005342819.391278
rodinia_lavamd_omp,F8,compute_bound,122.73141710752073,4311387613.249709
cpu_rajaperf_basic_trap_int,F8,compute_bound,146.3926871010912,3504545424.7904186
npb_bt,F8,compute_bound,7.899691406909951,6446070447.57013
cpu_cholmod,F8,compute_bound,22.18882663355827,105222758324.6134
npb_lu,F8,compute_bound,4.242883397114793,5962006341.185649
npb_lu,F8,compute_bound,4.255852641741267,5956061455.618969
npb_bt,F8,compute_bound,14.534636695079389,14611661043.343826
npb_bt,F8,compute_bound,6.358043456683726,6638811241.64765
rodinia_lavamd_omp,F8,compute_bound,100.3777970116618,4164619284.4280005
cpu_cholmod,F8,compute_bound,7.019976349606316,122187420929.15634
rodinia_lavamd_omp,F8,compute_bound,127.721529950827,4313730467.395371
dgemm_n2048,F8,compute_bound,14.657524324547296,125856163365.37392
cpu_rajaperf_basic_mat_mat_shared,F8,compute_bound,91.0219684017224,8848671639.438923
rodinia_lavamd_omp,F8,compute_bound,71.87408080554859,4237512241.6173887
rajaperf_polybench_3mm_omp,F8,compute_bound,48.14928441448453,2537835973.5369873
