evaluation_scope,resource_state,k,n,selected_baseline,selected_direct_name,selected_structured_name,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
extrapolation_top2,gpu_ready,30,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.051696480210996,1.0,structured,1.0,0.0,False
extrapolation_top2,gpu_ready,100,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.052660289807517,1.0,structured,1.0,0.0,False
extrapolation_top2,gpu_ready,1000,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0530297064862653,1.0,structured,1.0,0.0,False
extrapolation_top2,none_ready,1,12,always_cpu_ref,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top2,none_ready,2,12,always_cpu_ref,random_forest+probe,elasticnet,1.0667498930337074,1.0667498930337074,1.0667498930337074,direct,1.0667498930337074,0.0,False
extrapolation_top2,none_ready,3,12,intensity_threshold_train,random_forest+probe,elasticnet,1.5664250792934262,1.4504510138755875,1.0,structured,1.0,36.16036839431388,True
extrapolation_top2,none_ready,5,12,intensity_threshold_train,random_forest+probe,elasticnet,1.125051586596189,2.2373101999125917,1.1420618362989614,structured,1.1420618362989614,-1.511952865578059,False
extrapolation_top2,none_ready,10,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0000000000000002,4.66838225944527,1.487552084036042,structured,1.487552084036042,-48.755208403604186,False
extrapolation_top2,none_ready,30,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,2.614053354020756,direct,1.0,0.0,False
extrapolation_top2,none_ready,100,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
extrapolation_top2,none_ready,1000,12,intensity_threshold_train,random_forest+probe,elasticnet,1.0,1.0,1.0,direct,1.0,0.0,False
interpolation_all,cpu_ready,1,56,always_cpu_ref,random_forest+probe,elasticnet,1.0,17.97478002065432,1.0,structured,1.0,0.0,False
interpolation_all,cpu_ready,2,56,always_cpu_ref,random_forest+probe,elasticnet,1.0,5.040479310686403,1.0,structured,1.0,0.0,False
interpolation_all,cpu_ready,3,56,always_cpu_ref,random_forest+probe,elasticnet,1.0,2.5295097031475415,1.0,structured,1.0,0.0,False
interpolation_all,cpu_ready,5,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0,1.3041376862597756,1.1156955444618462,structured,1.1156955444618462,-11.569554446184615,False
interpolation_all,cpu_ready,10,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0,1.0,1.050407772023567,direct,1.0,0.0,False
interpolation_all,cpu_ready,30,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0097953435501192,1.024550155611978,1.0936344219353504,direct,1.024550155611978,-1.4611685581739309,False
interpolation_all,cpu_ready,100,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0,1.1821773188756655,1.0961438742021565,structured,1.0961438742021565,-9.614387420215653,False
interpolation_all,cpu_ready,1000,56,k_break_even_table_train,random_forest+probe,elasticnet,1.0014606896530773,1.3525630289699906,1.0044360690757752,structured,1.0044360690757752,-0.2971039655813801,False
