fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_name,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_name,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_direct_edp_sum_js,selected_structured_edp_sum_js,winner_edp_sum_js,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
extrapolation_top1,extrapolation,cpu_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,36.38795149086501,36.38795149086501,36.38795149086501,36.38795149086501,36.38795149086501,0.0,False
extrapolation_top1,extrapolation,cpu_ready,2,always_cpu_ref,1.0602062165177653,random_forest+probe,1.0602062165177653,elasticnet,1.0602062165177653,direct,1.0602062165177653,6,137.286316280547,145.55180596346003,145.55180596346003,145.55180596346003,145.55180596346003,0.0,False
extrapolation_top1,extrapolation,cpu_ready,3,intensity_threshold_train,1.171817144495761,random_forest+probe,1.607088603933028,elasticnet,1.607088603933028,direct,1.607088603933028,6,203.77940744294685,238.7922033368322,327.4915634177852,327.4915634177852,327.4915634177852,-37.14499838834211,False
extrapolation_top1,extrapolation,cpu_ready,5,intensity_threshold_train,1.0,random_forest+probe,2.816168050162741,elasticnet,1.1162470472612385,structured,1.1162470472612385,6,323.0271670822541,323.0271670822541,909.6987872716254,360.57812144072886,360.57812144072886,-11.624704726123847,False
extrapolation_top1,extrapolation,cpu_ready,10,intensity_threshold_train,1.0,random_forest+probe,6.04542857185179,elasticnet,1.7080861864971448,structured,1.7080861864971448,6,601.9085505416688,601.9085505416688,3638.7951490865016,1028.111680714743,1028.111680714743,-70.80861864971449,False
extrapolation_top1,extrapolation,cpu_ready,30,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,2693.062285748755,2693.062285748755,2693.062285748755,2693.062285748755,2693.062285748755,0.0,False
extrapolation_top1,extrapolation,cpu_ready,100,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,22305.01569622834,22305.01569622834,22305.01569622834,22305.01569622834,22305.01569622834,0.0,False
extrapolation_top1,extrapolation,cpu_ready,1000,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,1977905.541993414,1977905.541993414,1977905.541993414,1977905.541993414,1977905.541993414,0.0,False
extrapolation_top1,extrapolation,gpu_ready,1,intensity_threshold_train,1.0,random_forest+probe,1.017266755700173,elasticnet,1.017266755700173,direct,1.017266755700173,6,2.525139071390845,2.5251390713908446,2.568740030845513,2.568740030845513,2.568740030845513,-1.7266755700173109,False
extrapolation_top1,extrapolation,gpu_ready,2,intensity_threshold_train,1.0,random_forest+probe,1.033508804607208,elasticnet,1.033508804607208,direct,1.033508804607208,6,8.753534204407382,8.753534204407382,9.04685467168538,9.04685467168538,9.04685467168538,-3.3508804607208065,False
extrapolation_top1,extrapolation,gpu_ready,3,intensity_threshold_train,1.0,random_forest+probe,1.039100149579499,elasticnet,1.039100149579499,direct,1.039100149579499,6,18.884442142901623,18.884442142901623,19.62282665541447,19.62282665541447,19.62282665541447,-3.910014957949892,False
extrapolation_top1,extrapolation,gpu_ready,5,intensity_threshold_train,1.0,random_forest+probe,1.0435473134830755,elasticnet,1.0435473134830755,direct,1.0435473134830755,6,50.85379643632325,50.85379643632324,53.06834265154033,53.06834265154033,53.06834265154033,-4.35473134830755,False
extrapolation_top1,extrapolation,gpu_ready,10,intensity_threshold_train,1.0,random_forest+probe,1.0468349109513055,elasticnet,1.0,structured,1.0,6,199.0711562657372,199.0711562657372,208.3946361424164,199.0711562657372,199.0711562657372,0.0,False
extrapolation_top1,extrapolation,gpu_ready,30,intensity_threshold_train,1.0,random_forest+probe,1.0489912183473096,elasticnet,1.0,structured,1.0,6,1767.56879695282,1767.56879695282,1854.1641458282268,1767.56879695282,1767.56879695282,0.0,False
extrapolation_top1,extrapolation,gpu_ready,100,intensity_threshold_train,1.0,random_forest+probe,1.049737644432051,elasticnet,1.0,structured,1.0,6,19550.22587661239,19550.22587661239,20522.608059829618,19550.22587661239,19550.22587661239,0.0,False
extrapolation_top1,extrapolation,gpu_ready,1000,intensity_threshold_train,1.0,random_forest+probe,1.0500242869845262,elasticnet,1.0,structured,1.0,6,1951631.2279203977,1951631.2279203977,2049260.188553851,1951631.2279203977,1951631.2279203977,0.0,False
extrapolation_top1,extrapolation,none_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,40.27724387506998,40.27724387506998,40.27724387506998,40.27724387506998,40.27724387506998,0.0,False
extrapolation_top1,extrapolation,none_ready,2,always_cpu_ref,1.083777599362385,random_forest+probe,1.083777599362385,elasticnet,1.083777599362385,direct,1.083777599362385,6,141.18863193242552,153.0170765729835,153.0170765729835,153.0170765729835,153.0170765729835,0.0,False
extrapolation_top1,extrapolation,none_ready,3,intensity_threshold_train,1.149162584595045,random_forest+probe,1.6201765575393914,elasticnet,1.6201765575393914,direct,1.6201765575393914,6,208.9480993150318,240.1153378550841,338.5328122526271,338.5328122526271,338.5328122526271,-40.987583415825156,False
extrapolation_top1,extrapolation,none_ready,5,intensity_threshold_train,1.0,random_forest+probe,2.854177997816016,elasticnet,1.135095368701697,structured,1.135095368701697,6,325.09955345010604,325.09955345010604,927.8919925571043,369.0189974882051,369.0189974882051,-13.509536870169692,False
extrapolation_top1,extrapolation,none_ready,10,intensity_threshold_train,1.0,random_forest+probe,6.065599702127692,elasticnet,1.724397136059983,structured,1.724397136059983,6,605.8540665335205,605.8540665335205,3674.868245498573,1044.733017200697,1044.733017200697,-72.4397136059983,False
extrapolation_top1,extrapolation,none_ready,30,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,2704.5003202366056,2704.5003202366056,2704.5003202366056,2704.5003202366056,2704.5003202366056,0.0,False
