fold,regime,resource_state,k,method,name,with_probe,abstention_rate,startup_mode_cpu_e,startup_mode_cpu_t,startup_mode_gpu_e,startup_mode_gpu_t,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,none_ready,30,model_structured,ridge,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.8333333333333333,0.7934920476158722,1.0,0.6666666666666666,2,0,1,17,1.057893368987446,1.0,1.0578933689874468,2.1578673797489176,95.0,610.7253832801448,1.3890596177995118
interpolation_fold0,interpolation,none_ready,100,model_structured,ridge,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1690.0296271762265,1.0
interpolation_fold0,interpolation,none_ready,1000,model_structured,ridge,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,5,0,0,15,1.0,1.0,1.0,1.0,100.0,86857.76146325747,1.0
interpolation_fold0,interpolation,cpu_ready,1,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
interpolation_fold0,interpolation,cpu_ready,3,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,11.673242316685208,1.0
interpolation_fold0,interpolation,cpu_ready,5,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,32.42567310190335,1.0
interpolation_fold0,interpolation,cpu_ready,10,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,129.7026924076134,1.0
interpolation_fold0,interpolation,cpu_ready,30,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.8333333333333333,0.7934920476158722,1.0,0.6666666666666666,2,0,1,17,1.055068165051468,1.0,1.0550681650514688,2.1013633010293593,95.0,599.3906076230011,1.3726049855884916
interpolation_fold0,interpolation,cpu_ready,100,model_structured,elasticnet,False,0.0,per_operation,per_operation,constant,constant,20,1.0,1.0,1.0,1.0,1.0,3,0,0,17,1.0,1.0,1.0,1.0,100.0,1681.4501734906037,1.0
