config_id,operation,size,log10_n,flops_per_dispatch_analytic,log10_flops_per_dispatch,logical_bytes_per_dispatch,log10_logical_bytes,arithmetic_intensity_analytic,cpu_e_cold,log_cpu_e_cold,cpu_t_cold,log_cpu_t_cold,cpu_e_warm,log_cpu_e_warm,cpu_t_warm,log_cpu_t_warm,cpu_startup_e,cpu_startup_t,gpu_e_cold,log_gpu_e_cold,gpu_t_cold,log_gpu_t_cold,gpu_e_warm,log_gpu_e_warm,gpu_t_warm,log_gpu_t_warm,gpu_startup_e,gpu_startup_t
axpy_N10000,axpy,10000,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,-7.10055529284307,7.63e-06,-11.783422712667909,0.0007211880905045,-7.234610580215026,5.836048775345866e-06,-12.051456569671446,0.00010345878508979999,1.793951224654134e-06,88.28959796268714,4.480622297303476,0.6350012486666666,-0.4541283136871794,0.0155996227510383,-4.1605085476448,9.82224581453634e-05,-9.228275670733302,88.2739983399361,0.6349030262085212
axpy_N100000,axpy,100000,5.0,200000.0,5.301029995663981,2400000.0,6.380211241711606,0.08333333333333333,0.118726418556648,-2.1309334363627155,0.0010556699999999,-6.853579642536462,0.0106745893186894,-4.539889191924641,7.027797283152106e-05,-9.563052139234387,0.10805182923795861,0.000985392027168379,84.63628388680603,4.4383630622171,0.5909949143333333,-0.5259478668020091,0.0871537367923336,-2.4400816302263957,0.0005641360347298,-7.480215139219941,84.5491301500137,0.5904307782986035
axpy_N1000000,axpy,1000000,6.0,2000000.0,6.301029995663981,24000000.0,7.380211241711606,0.08333333333333333,0.1474088660375612,-1.9145451515272536,0.001250493,-6.684217405423164,0.1640444432296578,-1.8076178925677417,0.0010484661727413,-6.860426970668926,-0.0166355771920966,0.00020202682725870003,90.7439457377468,4.508041757285863,0.6133881086666667,-0.48875741342620677,0.4156832188396361,-0.877831801978026,0.0025252822313167,-5.981402447722258,90.32826251890717,0.6108628264353501
axpy_N10000000,axpy,10000000,7.0,20000000.0,7.301029995663981,240000000.0,8.380211241711606,0.08333333333333333,0.5331284828964685,-0.6289928277747084,0.0043165553333333,-5.445297571343106,1.4566868247430709,0.3761645588400253,0.0099475313965141,-4.610430859446598,-0.9235583418466023,-0.0056309760631808,92.9060157509046,4.531588398846033,0.6273668393333333,-0.46622383872928314,4.181496044998684,1.4306690880058464,0.0254947151807909,-3.6692840961086737,88.72451970590592,0.6018721241525423
axpy_N31622777,axpy,31622777,7.500000005470314,63245554.0,7.801030001134295,758946648.0,8.88021124718192,0.08333333333333333,1.6045630903710368,0.4728515016866181,0.010420434,-4.563986592852497,4.525878889829218,1.509811788088237,0.0312363881224489,-3.466171577773922,-2.9213157994581813,-0.0208159541224489,86.59548913676639,4.4612477257217416,0.5905352003333334,-0.5267260340573188,13.077912413910813,2.5709247319084314,0.0795564447719298,-2.531288512119383,73.51757672285558,0.5109787555614036
axpy_N3162278,axpy,3162278,6.500000046671104,6324556.0,6.801030042335086,75894672.0,7.88021128838271,0.08333333333333333,0.2516450738393689,-1.3797356213959597,0.0018916373333333,-6.270312511010956,0.4670355911375398,-0.761349811931296,0.0031130414694736,-5.7721550662257215,-0.21539051729817088,-0.0012214041361403001,93.99718357663522,4.543264819870447,0.6846485813333333,-0.37884959231100973,1.3233645367698337,0.28017738517604723,0.0081148552162162,-4.814058919676136,92.67381903986539,0.676533726117117
axpy_N316228,axpy,316228,5.500000321342935,632456.0,5.801030317006917,7589472.0,6.880211563054541,0.08333333333333333,0.0876683672072644,-2.434194137859122,0.001049242,-6.859687280273326,0.0323391102043385,-3.4314779389921912,0.0002113661006626,-8.461918853760293,0.055329257002925895,0.0008378758993374,79.66607436512749,4.37784382848841,0.5554434456666667,-0.5879884830660347,0.1665032752937124,-1.7927402983214107,0.0010540613053078,-6.855104666125799,79.49957108983378,0.5543893843613589
axpy_N31623,axpy,31623,4.500003068051694,63246.0,4.801033063715675,758952.0,5.880214309763299,0.08333333333333333,0.0833698895555415,-2.4844680713111043,0.0011028023333333,-6.8099007629905195,0.0041013965432985,-5.496427742953098,2.743507111195783e-05,-10.503688395440737,0.07926849301224301,0.0010753672622213421,87.07603093269127,4.4667816557764795,0.6175347906666667,-0.4820198709065145,0.0440501821488533,-3.12242579156075,0.0002873569239709,-8.154785477351984,87.03198075054242,0.6172474337426959
cholesky_N1024,cholesky,1024,3.010299956639812,357913941.3333333,8.553778615199773,16777216.0,7.224719895935548,21.333333333333332,2.4188708521634337,0.8833008412664922,0.018184039,-4.007211047691564,1.819244628779891,0.5984213758041967,0.0131629941707988,-4.330345858386431,0.5996262233835428,0.0050210448292012,93.2837285221304,4.535645693095487,0.6712917746666666,-0.398551400955241,0.4162081641258928,-0.8765697493430724,0.0025145382804161,-5.985666078600131,92.86752035800451,0.6687772363862504
cholesky_N128,cholesky,128,2.1072099696478683,699050.6666666666,5.844508654223943,262144.0,5.418539921951662,2.6666666666666665,0.3160130062203577,-1.1519719073170476,0.0018199413333333,-6.308951012845227,0.0222024035629705,-3.8075547273622505,0.0001494946851851,-8.808249716366808,0.29381060265738723,0.0016704466481482,86.84887179779179,4.464169502364303,0.6216170229999999,-0.4754310945250474,0.0446352267635203,-3.109231893966712,0.0002905750866054,-8.143648541386195,86.80423657102827,0.6213264479133945
