elapsed_seconds,interval_ns,ipc_cv_pct,ipc_mean,kernel_ref,n_windows_ok,n_windows_total,perf_running_ratio_min,postprocess_error,push_retries,quality_json,repetition,samples_collected,sampling_interval_cv_pct,sampling_interval_mean_ns,success,wall_seconds
24.974033873528242,2000000,,,npb_bt,0,12436,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 40, ""no_freq_reading"": 12395}",1,12436,0.132554,2000000.0,True,24.97760545182973
25.02548481244594,2000000,,,npb_bt,0,12458,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 40, ""no_freq_reading"": 12417}",2,12458,0.137908,2000000.0,True,25.029859513044357
25.074670645408332,2000000,,,npb_bt,0,12479,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 40, ""no_freq_reading"": 12438}",3,12479,0.135696,2000010.0,True,25.077805135399103
1.0188926393166184,2000000,,,npb_mg,0,467,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 150, ""no_freq_reading"": 316}",1,467,0.204366,2000120.0,True,1.0277931969612837
1.0183985019102693,2000000,,,npb_mg,0,468,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 150, ""no_freq_reading"": 317}",2,468,0.208757,2000120.0,True,1.0205874536186457
1.018542525358498,2000000,,,npb_mg,0,469,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 150, ""no_freq_reading"": 318}",3,469,0.197666,2000120.0,True,1.0206384239718318
6.8823556676507,2000000,,,npb_cg,0,3404,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 35, ""no_freq_reading"": 3368}",1,3404,0.157944,2000020.0,True,6.8846854623407125
6.78310492169112,2000000,,,npb_cg,0,3364,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 35, ""no_freq_reading"": 3328}",2,3364,0.143662,2000020.0,True,6.7858323054388165
6.782455916516483,2000000,,,npb_cg,0,3352,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 35, ""no_freq_reading"": 3316}",3,3352,0.155324,2000020.0,True,6.784539151005447
17.205435969866812,2000000,,,npb_sp,0,8554,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""no_freq_reading"": 8303}",1,8554,0.19099,2000010.0,True,17.20820688456297
17.306315143592656,2000000,,,npb_sp,0,8611,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""no_freq_reading"": 8360}",2,8611,0.194089,2000010.0,True,17.30895751249045
17.406275810673833,2000000,,,npb_sp,0,8664,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""no_freq_reading"": 8413}",3,8664,0.192209,2000010.0,True,17.40878013242036
4.226697071455419,2000000,,,npb_ft,0,2067,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""no_freq_reading"": 1816}",1,2067,0.13796,2000030.0,True,4.2302858317270875
4.225859647616744,2000000,,,npb_ft,0,2076,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""no_freq_reading"": 1825}",2,2076,0.153249,2000030.0,True,4.228679179213941
4.326550713740289,2000000,,,npb_ft,0,2138,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 250, ""no_freq_reading"": 1887}",3,2138,0.145891,2000030.0,True,4.328940270468593
17.30653699208051,2000000,,,npb_lu,0,8620,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 8119}",1,8620,0.137218,2000010.0,True,17.308938086032867
17.306805653497577,2000000,,,npb_lu,0,8619,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 8118}",2,8619,0.131984,2000010.0,True,17.309188815765083
17.305797298438847,2000000,,,npb_lu,0,8615,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 500, ""no_freq_reading"": 8114}",3,8615,0.139435,2000010.0,True,17.308213354088366
0.06695246044546366,2000000,,,dgemm_n2048,,,,run_failed,,,1,,,,False,0.06965774577111006
0.03423114400357008,2000000,,,dgemm_n2048,,,,run_failed,,,2,,,,False,0.035789605230093
0.03412509895861149,2000000,,,dgemm_n2048,,,,run_failed,,,3,,,,False,0.03570162132382393
24.92298302333802,5000000,,,npb_bt,0,4969,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 16, ""no_freq_reading"": 4952}",1,4969,0.0428361,5000010.0,True,24.926164959557354
24.97490644082427,5000000,,,npb_bt,0,4976,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 16, ""no_freq_reading"": 4959}",2,4976,0.050975,5000010.0,True,24.977690734900534
24.92357529979199,5000000,,,npb_bt,0,4967,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 16, ""no_freq_reading"": 4950}",3,4967,0.0539625,5000010.0,True,24.926422966644168
0.9693717435002327,5000000,,,npb_mg,0,186,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 60, ""no_freq_reading"": 125}",1,186,0.0932862,5000310.0,True,0.9737465558573604
0.9685444263741374,5000000,,,npb_mg,0,186,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 60, ""no_freq_reading"": 125}",2,186,0.101694,5000330.0,True,0.9705951884388924
1.0189042491838336,5000000,,,npb_mg,0,190,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 60, ""no_freq_reading"": 129}",3,190,0.10452,5000330.0,True,1.021655060350895
6.735168978571892,5000000,,,npb_cg,0,1335,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 14, ""no_freq_reading"": 1320}",1,1335,0.0489148,5000040.0,True,6.739121546037495
6.782380742020905,5000000,,,npb_cg,0,1343,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 14, ""no_freq_reading"": 1328}",2,1343,0.0463105,5000050.0,True,6.784737886860967
6.831581249833107,5000000,,,npb_cg,0,1351,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 14, ""no_freq_reading"": 1336}",3,1351,0.0490107,5000050.0,True,6.833727579563856
17.255742946639657,5000000,,,npb_sp,0,3435,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""no_freq_reading"": 3334}",1,3435,0.0633149,5000020.0,True,17.259261041879654
17.20710185356438,5000000,,,npb_sp,0,3424,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""no_freq_reading"": 3323}",2,3424,0.0625941,5000020.0,True,17.210528421215713
17.257242386229336,5000000,,,npb_sp,0,3440,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""no_freq_reading"": 3339}",3,3440,0.0545524,5000020.0,True,17.260183986276388
4.226560077629983,5000000,,,npb_ft,0,828,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""no_freq_reading"": 727}",1,828,0.0591633,5000070.0,True,4.229968495666981
4.376175083220005,5000000,,,npb_ft,0,867,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""no_freq_reading"": 766}",2,867,0.0576552,5000070.0,True,4.378713552840054
4.175724141299725,5000000,,,npb_ft,0,823,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""no_freq_reading"": 722}",3,823,0.0588628,5000070.0,True,4.177771834656596
17.35614541079849,5000000,,,npb_lu,0,3454,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 200, ""no_freq_reading"": 3253}",1,3454,0.0526129,5000020.0,True,17.359342533163726
17.3553046900779,5000000,,,npb_lu,0,3459,1,,0,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 200, ""no_freq_reading"": 3258}",2,3459,0.0532108,5000020.0,True,17.35748267173767
