run,kernel_ref,level,rep,elapsed_ns,pkg_uj,dram_uj,n_compute,n_memory,freq_applied,accepted,cmd_args
pacca_cpu_final_20260913__cpu_gap_pr__F2__rep02,cpu_gap_pr,F2,2,9224120000.0,823790676,65611571,0,6878,2600000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F2__rep03,cpu_gap_pr,F2,3,9271610000.0,832887944,66694001,0,6895,2600000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F3__rep01,cpu_gap_pr,F3,1,10174200000.0,887341539,72408459,0,7683,2300000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F3__rep02,cpu_gap_pr,F3,2,10070300000.0,880364751,71207714,0,7623,2300000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F3__rep03,cpu_gap_pr,F3,3,10130900000.0,883801143,71840186,0,7718,2300000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F4__rep01,cpu_gap_pr,F4,1,11064700000.0,944964866,77673556,0,8815,2000000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F4__rep02,cpu_gap_pr,F4,2,11144800000.0,949952768,77593660,0,8895,2000000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F4__rep03,cpu_gap_pr,F4,3,11009200000.0,938963416,76598042,0,8776,2000000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F5__rep01,cpu_gap_pr,F5,1,12314400000.0,1026636288,83765174,0,10517,1700000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F5__rep02,cpu_gap_pr,F5,2,12402100000.0,1032823100,83952171,0,10586,1700000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F5__rep03,cpu_gap_pr,F5,3,12332500000.0,1029927661,84476487,0,10181,1700000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F6__rep01,cpu_gap_pr,F6,1,14453600000.0,1186981642,98052085,0,12841,1400000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F6__rep02,cpu_gap_pr,F6,2,14508300000.0,1191690187,98254902,0,12842,1400000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F6__rep03,cpu_gap_pr,F6,3,14518200000.0,1192673460,98026671,0,12990,1400000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F7__rep01,cpu_gap_pr,F7,1,17639400000.0,1416147620,118755203,0,15398,1100000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F7__rep02,cpu_gap_pr,F7,2,17642400000.0,1415669960,117196501,0,15477,1100000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F7__rep03,cpu_gap_pr,F7,3,17643700000.0,1417180515,117287536,0,15223,1100000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F8__rep01,cpu_gap_pr,F8,1,23575600000.0,1882383304,153775128,0,22602,800000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F8__rep02,cpu_gap_pr,F8,2,23427500000.0,1869959873,153217199,0,22457,800000,True,
pacca_cpu_final_20260913__cpu_gap_pr__F8__rep03,cpu_gap_pr,F8,3,23542700000.0,1885591792,153339660,0,22581,800000,True,
pacca_cpu_final_20260913__cpu_gap_pr__REF__rep01,cpu_gap_pr,REF,1,8160360000.0,771163797,59240973,0,7272,,True,
pacca_cpu_final_20260913__cpu_gap_pr__REF__rep02,cpu_gap_pr,REF,2,8160060000.0,769719221,59595963,0,7275,,True,
pacca_cpu_final_20260913__cpu_gap_pr__REF__rep03,cpu_gap_pr,REF,3,8138460000.0,768735947,58801189,0,7238,,True,
pacca_cpu_final_20260913__cpu_hpcg__F0__rep01,cpu_hpcg,F0,1,19157800000.0,1699281783,165111878,0,9851,3200000,True,
pacca_cpu_final_20260913__cpu_hpcg__F0__rep02,cpu_hpcg,F0,2,19245400000.0,1701797524,163852060,0,10025,3200000,True,
pacca_cpu_final_20260913__cpu_hpcg__F0__rep03,cpu_hpcg,F0,3,19249000000.0,1714816899,165056889,0,10013,3200000,True,
pacca_cpu_final_20260913__cpu_hpcg__F1__rep01,cpu_hpcg,F1,1,19754100000.0,1719734916,168820796,0,10289,2900000,True,
pacca_cpu_final_20260913__cpu_hpcg__F1__rep02,cpu_hpcg,F1,2,19800100000.0,1727404086,168926780,0,10531,2900000,True,
pacca_cpu_final_20260913__cpu_hpcg__F1__rep03,cpu_hpcg,F1,3,19714300000.0,1710663467,166909811,0,10095,2900000,True,
pacca_cpu_final_20260913__cpu_hpcg__F2__rep01,cpu_hpcg,F2,1,20657500000.0,1771131147,173791461,0,10828,2600000,True,
pacca_cpu_final_20260913__cpu_hpcg__F2__rep02,cpu_hpcg,F2,2,20794600000.0,1779611899,174674837,0,10890,2600000,True,
pacca_cpu_final_20260913__cpu_hpcg__F2__rep03,cpu_hpcg,F2,3,20592100000.0,1777196012,171414345,0,10972,2600000,True,
pacca_cpu_final_20260913__cpu_hpcg__F3__rep01,cpu_hpcg,F3,1,22014900000.0,1854053969,180356476,0,12092,2300000,True,
pacca_cpu_final_20260913__cpu_hpcg__F3__rep02,cpu_hpcg,F3,2,21985200000.0,1856041452,181458566,0,11787,2300000,True,
pacca_cpu_final_20260913__cpu_hpcg__F3__rep03,cpu_hpcg,F3,3,22012300000.0,1867580974,181810879,0,11172,2300000,True,
pacca_cpu_final_20260913__cpu_hpcg__F4__rep01,cpu_hpcg,F4,1,19130200000.0,1583546910,154301142,0,11549,2000000,True,
pacca_cpu_final_20260913__cpu_hpcg__F4__rep02,cpu_hpcg,F4,2,18908600000.0,1568676038,150910051,0,12922,2000000,True,
pacca_cpu_final_20260913__cpu_hpcg__F4__rep03,cpu_hpcg,F4,3,18847300000.0,1564471397,150722901,0,12042,2000000,True,
pacca_cpu_final_20260913__cpu_hpcg__F5__rep01,cpu_hpcg,F5,1,21154000000.0,1741390500,164777220,0,14445,1700000,True,
pacca_cpu_final_20260913__cpu_hpcg__F5__rep02,cpu_hpcg,F5,2,21169300000.0,1740705139,165065030,13,15549,1700000,True,
pacca_cpu_final_20260913__cpu_hpcg__F5__rep03,cpu_hpcg,F5,3,21083100000.0,1737090402,164979319,0,14294,1700000,True,
pacca_cpu_final_20260913__cpu_hpcg__F6__rep01,cpu_hpcg,F6,1,24622300000.0,2001684328,188532414,0,20592,1400000,True,
pacca_cpu_final_20260913__cpu_hpcg__F6__rep02,cpu_hpcg,F6,2,24713100000.0,2004333980,188835476,12,21024,1400000,True,
pacca_cpu_final_20260913__cpu_hpcg__F6__rep03,cpu_hpcg,F6,3,24596300000.0,2000036017,187107586,0,21574,1400000,True,
pacca_cpu_final_20260913__cpu_hpcg__F7__rep01,cpu_hpcg,F7,1,30397000000.0,2419025119,226725896,26,25372,1100000,True,
pacca_cpu_final_20260913__cpu_hpcg__F7__rep02,cpu_hpcg,F7,2,30145700000.0,2396054901,223436197,26,24312,1100000,True,
pacca_cpu_final_20260913__cpu_hpcg__F7__rep03,cpu_hpcg,F7,3,30095300000.0,2392037272,224708927,13,25390,1100000,True,
pacca_cpu_final_20260913__cpu_hpcg__F8__rep01,cpu_hpcg,F8,1,40639500000.0,3210913472,288408810,39,39620,800000,True,
pacca_cpu_final_20260913__cpu_hpcg__F8__rep02,cpu_hpcg,F8,2,40460000000.0,3202149700,288139040,39,39453,800000,True,
pacca_cpu_final_20260913__cpu_hpcg__F8__rep03,cpu_hpcg,F8,3,40519400000.0,3213530531,285890460,26,39526,800000,True,
pacca_cpu_final_20260913__cpu_hpcg__REF__rep01,cpu_hpcg,REF,1,19152500000.0,1700653179,162438279,0,18254,,True,
pacca_cpu_final_20260913__cpu_hpcg__REF__rep02,cpu_hpcg,REF,2,19106300000.0,1695516289,161724427,0,18205,,True,
pacca_cpu_final_20260913__cpu_hpcg__REF__rep03,cpu_hpcg,REF,3,19083700000.0,1690711431,162810773,0,18191,,True,
pacca_cpu_final_20260913__cpu_lulesh__F0__rep01,cpu_lulesh,F0,1,91242900000.0,10411729633,1381012379,0,90268,3200000,True,
pacca_cpu_final_20260913__cpu_lulesh__F0__rep02,cpu_lulesh,F0,2,91676300000.0,10452932408,1377192597,0,90704,3200000,True,
pacca_cpu_final_20260913__cpu_lulesh__F0__rep03,cpu_lulesh,F0,3,91513900000.0,10419313170,1376991187,0,90543,3200000,True,
pacca_cpu_final_20260913__cpu_lulesh__F1__rep01,cpu_lulesh,F1,1,96037000000.0,10440085700,1414458409,0,95073,2900000,True,
pacca_cpu_final_20260913__cpu_lulesh__F1__rep02,cpu_lulesh,F1,2,95293100000.0,10407091582,1411942339,0,94317,2900000,True,
pacca_cpu_final_20260913__cpu_lulesh__F1__rep03,cpu_lulesh,F1,3,96300700000.0,10445520318,1425817420,0,95339,2900000,True,
pacca_cpu_final_20260913__cpu_lulesh__F2__rep01,cpu_lulesh,F2,1,101225000000.0,10599985071,1455059804,0,100262,2600000,True,
pacca_cpu_final_20260913__cpu_lulesh__F2__rep02,cpu_lulesh,F2,2,101188000000.0,10574953153,1454512401,0,100227,2600000,True,
pacca_cpu_final_20260913__cpu_lulesh__F2__rep03,cpu_lulesh,F2,3,100924000000.0,10588926322,1446709983,0,99928,2600000,True,
pacca_cpu_final_20260913__cpu_lulesh__F3__rep01,cpu_lulesh,F3,1,107986000000.0,10915988717,1511091312,0,107017,2300000,True,
pacca_cpu_final_20260913__cpu_lulesh__F3__rep02,cpu_lulesh,F3,2,108766000000.0,11026113313,1521133972,0,107791,2300000,True,
pacca_cpu_final_20260913__cpu_lulesh__F3__rep03,cpu_lulesh,F3,3,108376000000.0,10946973318,1519051412,0,107392,2300000,True,
pacca_cpu_final_20260913__cpu_lulesh__F4__rep01,cpu_lulesh,F4,1,117742000000.0,11542857596,1588505380,0,116781,2000000,True,
pacca_cpu_final_20260913__cpu_lulesh__F4__rep02,cpu_lulesh,F4,2,118085000000.0,11611720701,1588270280,0,117109,2000000,True,
pacca_cpu_final_20260913__cpu_lulesh__F4__rep03,cpu_lulesh,F4,3,117489000000.0,11545469467,1581689260,0,116527,2000000,True,
pacca_cpu_final_20260913__cpu_lulesh__F5__rep01,cpu_lulesh,F5,1,130850000000.0,12354022939,1676686960,0,129888,1700000,True,
pacca_cpu_final_20260913__cpu_lulesh__F5__rep02,cpu_lulesh,F5,2,130815000000.0,12376246088,1680853088,0,129854,1700000,True,
pacca_cpu_final_20260913__cpu_lulesh__F5__rep03,cpu_lulesh,F5,3,131021000000.0,12375571345,1681996993,0,130060,1700000,True,
pacca_cpu_final_20260913__cpu_lulesh__F6__rep01,cpu_lulesh,F6,1,151897000000.0,13872552438,1837644475,0,150926,1400000,True,
pacca_cpu_final_20260913__cpu_lulesh__F6__rep02,cpu_lulesh,F6,2,152033000000.0,13852447997,1838160666,0,151070,1400000,True,
pacca_cpu_final_20260913__cpu_lulesh__F6__rep03,cpu_lulesh,F6,3,151992000000.0,13870593092,1834418730,13,151005,1400000,True,
pacca_cpu_final_20260913__cpu_lulesh__F7__rep01,cpu_lulesh,F7,1,184359000000.0,16259733399,2067321251,0,183344,1100000,True,
pacca_cpu_final_20260913__cpu_lulesh__F7__rep02,cpu_lulesh,F7,2,183772000000.0,16189477110,2065199049,0,182777,1100000,True,
pacca_cpu_final_20260913__cpu_lulesh__F7__rep03,cpu_lulesh,F7,3,183733000000.0,16246962009,2054648062,0,182722,1100000,True,
pacca_cpu_final_20260913__cpu_lulesh__F8__rep01,cpu_lulesh,F8,1,244427000000.0,20876767478,2476002778,13,243423,800000,True,
pacca_cpu_final_20260913__cpu_lulesh__F8__rep02,cpu_lulesh,F8,2,244904000000.0,20940271588,2470744169,0,243931,800000,True,
pacca_cpu_final_20260913__cpu_lulesh__F8__rep03,cpu_lulesh,F8,3,245080000000.0,20963913800,2492741132,45,244054,800000,True,
pacca_cpu_final_20260913__cpu_lulesh__REF__rep01,cpu_lulesh,REF,1,91645000000.0,10440661870,1380431805,0,90750,,True,
pacca_cpu_final_20260913__cpu_lulesh__REF__rep02,cpu_lulesh,REF,2,91238700000.0,10396820979,1378658489,0,90348,,True,
pacca_cpu_final_20260913__cpu_lulesh__REF__rep03,cpu_lulesh,REF,3,92069500000.0,10448759018,1384515131,0,91180,,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F0__rep01,cpu_rajaperf_basic_daxpy,F0,1,1755500000.0,155430022,23243255,26,734,3200000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F0__rep02,cpu_rajaperf_basic_daxpy,F0,2,1694100000.0,150535015,22942212,0,718,3200000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F0__rep03,cpu_rajaperf_basic_daxpy,F0,3,1598990000.0,142429750,22230961,0,636,3200000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F1__rep01,cpu_rajaperf_basic_daxpy,F1,1,1680170000.0,144633114,22796709,27,679,2900000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F1__rep02,cpu_rajaperf_basic_daxpy,F1,2,1718280000.0,146947316,23034992,10,720,2900000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F1__rep03,cpu_rajaperf_basic_daxpy,F1,3,1655040000.0,142640076,22604450,16,679,2900000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F2__rep01,cpu_rajaperf_basic_daxpy,F2,1,1636340000.0,136676775,22384741,28,637,2600000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F2__rep02,cpu_rajaperf_basic_daxpy,F2,2,1653880000.0,138207777,22577124,31,646,2600000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F2__rep03,cpu_rajaperf_basic_daxpy,F2,3,1670710000.0,140112862,22708260,33,665,2600000,True,
pacca_cpu_final_20260913__cpu_rajaperf_basic_daxpy__F3__rep01,cpu_rajaperf_basic_daxpy,F3,1,1728200000.0,141713688,23246483,46,711,2300000,True,
