cls,level,n_kernels,gain_agg,median_ratio,frac_better,energy_ratio,time_ratio,test,p,significant
compute_bound,F0,16,0.002605837661842636,0.9969944167756415,0.6875,0.9974640126702705,0.9994690955396011,wilcoxon,0.1590576171875,False
compute_bound,F1,16,-0.029474202586124543,1.0899398302264438,0.1875,1.0218569695677933,1.059643669615597,wilcoxon,0.14385986328125,False
compute_bound,F2,16,-0.10488653321414132,1.1930325746826493,0.1875,1.0585326131438244,1.1219952150268981,wilcoxon,0.14385986328125,False
compute_bound,F3,16,-0.2203698081849772,1.3889564478464516,0.1875,1.124351523580892,1.242999271065348,wilcoxon,0.104583740234375,False
compute_bound,F4,16,-0.39313617031681547,1.6751477213106347,0.1875,1.2271959642490589,1.3732947517110246,wilcoxon,0.104583740234375,False
compute_bound,F5,16,-0.6766738992605383,2.1498971012977535,0.1875,1.3815942519174436,1.5769628447549877,wilcoxon,0.104583740234375,False
compute_bound,F6,16,-1.1720069483151616,2.9724106770270886,0.1875,1.6099017461080953,1.8807232727729841,wilcoxon,0.104583740234375,False
compute_bound,F7,16,-2.141277395199675,4.47337971004905,0.1875,1.9623033261013587,2.304470803947087,wilcoxon,0.104583740234375,False
compute_bound,F8,16,-4.431603198147411,8.041045971345806,0.1875,2.608134460680982,3.0672531806253236,wilcoxon,0.0506591796875,False
memory_bound,F0,27,0.002150381605312557,1.0004490639952328,0.48148148148148145,1.0000652079097923,0.9995897669255617,wilcoxon,0.9717257022857666,False
memory_bound,F1,27,-0.05392557731143732,1.0129857678609404,0.37037037037037035,0.9906455716738166,1.0233026063356885,wilcoxon,0.07722577452659607,False
memory_bound,F2,27,-0.13422896289659758,1.024169066294569,0.2962962962962963,0.9861237752195635,1.0370410584932293,wilcoxon,0.04910190403461456,True
memory_bound,F3,27,-0.26248142777249206,1.0443270296368756,0.25925925925925924,0.9847824095824301,1.0635844869491704,wilcoxon,0.022940203547477722,True
memory_bound,F4,27,-0.44094359342118516,1.1109630652704772,0.2222222222222222,1.0077309664991427,1.1041265983303392,wilcoxon,0.012076601386070251,True
memory_bound,F5,27,-0.7293329701736644,1.2119951438935266,0.1111111111111111,1.0489579452341469,1.1554277742021266,wilcoxon,1.043081283569336e-06,True
memory_bound,F6,27,-1.2478603209541514,1.506125173000995,0.0,1.147324612047228,1.2945842393025269,wilcoxon,1.4901161193847656e-08,True
memory_bound,F7,27,-2.194917794608582,1.8752919290824919,0.0,1.2760787739500652,1.4801625965805072,wilcoxon,1.4901161193847656e-08,True
memory_bound,F8,27,-4.464602236598197,3.055937144553325,0.0,1.614459132250483,1.8610138975448913,wilcoxon,1.4901161193847656e-08,True
