cls,level,n_kernels,gain_agg,median_ratio,frac_better,energy_ratio,time_ratio,test,p,significant
compute_bound,F0,22,0.0026342918601907073,0.9972875022110681,0.6818181818181818,0.9980721074902703,0.9993758226317024,wilcoxon,0.05869007110595703,False
compute_bound,F1,22,-0.03932672906787715,1.110520326095257,0.13636363636363635,1.0324844234653519,1.0770700677128189,wilcoxon,0.022916316986083984,True
compute_bound,F2,22,-0.12613559157324694,1.2274949925124972,0.13636363636363635,1.072830072448991,1.1599138213788927,wilcoxon,0.022916316986083984,True
compute_bound,F3,22,-0.2587318505295262,1.4732632461310198,0.13636363636363635,1.1586572867227791,1.2831397315853756,wilcoxon,0.01272726058959961,True
compute_bound,F4,22,-0.45430949529835396,1.8208138224818495,0.13636363636363635,1.2559227269635254,1.4662727660705699,wilcoxon,0.01272726058959961,True
compute_bound,F5,22,-0.7734160733328872,2.293147800506298,0.13636363636363635,1.4121150965468376,1.683121631931439,wilcoxon,0.006649494171142578,True
compute_bound,F6,22,-1.3309597535533961,3.2063735916676586,0.13636363636363635,1.6515457830304765,1.9512035492163626,wilcoxon,0.0025048255920410156,True
compute_bound,F7,22,-2.4181210984298644,4.886308222891257,0.13636363636363635,2.034648582864469,2.4568675487743468,wilcoxon,0.0021948814392089844,True
compute_bound,F8,22,-4.990010264111856,8.490500359182878,0.13636363636363635,2.6933860594851877,3.2891231563556813,wilcoxon,0.0009412765502929688,True
memory_bound,F0,28,0.0021407120694347803,1.0009090798606528,0.4642857142857143,1.0000967773316505,0.9996111098718449,wilcoxon,0.9374814853072166,False
memory_bound,F1,28,-0.05383210660381055,1.010426956688995,0.39285714285714285,0.9892758524036329,1.023149697978825,wilcoxon,0.1199713721871376,False
memory_bound,F2,28,-0.13402041018564015,1.0185603595912749,0.32142857142857145,0.9831069694778829,1.037036274883225,wilcoxon,0.07353667169809341,False
memory_bound,F3,28,-0.2621121089581844,1.0438476246346278,0.25,0.9846022956001359,1.062544197056542,wilcoxon,0.017886914312839508,True
memory_bound,F4,28,-0.4403516204887594,1.1046980954867514,0.21428571428571427,1.0063826202316455,1.1018472827317338,wilcoxon,0.008859716355800629,True
memory_bound,F5,28,-0.7283661538969368,1.2025819101663942,0.10714285714285714,1.045079068246396,1.155395383455285,wilcoxon,5.21540641784668e-07,True
memory_bound,F6,28,-1.2462490682371823,1.4962423311770785,0.0,1.1458056610260547,1.291642412486611,wilcoxon,7.450580596923828e-09,True
memory_bound,F7,28,-2.1921854340338465,1.875006189676327,0.0,1.2715143624320595,1.4741248059215049,wilcoxon,7.450580596923828e-09,True
memory_bound,F8,28,-4.459127849731257,2.9268206827337857,0.0,1.5868744279000255,1.8269810574043088,wilcoxon,7.450580596923828e-09,True
