kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
rodinia_lud,4671,13991,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 8319, ""gpu_telemetry"": 4671}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_lud__REF__rep01
rodinia_lud,5678,14420,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7741, ""gpu_telemetry"": 5678}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_lud__REF__rep02
rodinia_lud,4332,12964,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7631, ""gpu_telemetry"": 4332}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_lud__REF__rep03
rodinia_myocyte,4078,10565,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 956, ""pmu_degraded"": 2429, ""intensity_undefined"": 3101, ""gpu_telemetry"": 4078}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_myocyte__REF__rep01
rodinia_myocyte,3852,10320,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 961, ""pmu_degraded"": 2418, ""intensity_undefined"": 3088, ""gpu_telemetry"": 3852}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_myocyte__REF__rep02
rodinia_myocyte,3416,9921,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 2424, ""intensity_undefined"": 3122, ""gpu_telemetry"": 3416}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_1000000/sweep_gpu_interval_1000000__rodinia_myocyte__REF__rep03
gpu_dgemm_n4096,429,4924,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 392, ""pmu_degraded"": 3886, ""intensity_undefined"": 80, ""ok"": 136, ""gpu_telemetry"": 429}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__gpu_dgemm_n4096__REF__rep01
gpu_dgemm_n4096,425,4911,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 387, ""pmu_degraded"": 3884, ""intensity_undefined"": 74, ""ok"": 140, ""gpu_telemetry"": 425}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__gpu_dgemm_n4096__REF__rep02
gpu_dgemm_n4096,431,4975,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 440, ""pmu_degraded"": 3885, ""intensity_undefined"": 72, ""ok"": 146, ""gpu_telemetry"": 431}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__gpu_dgemm_n4096__REF__rep03
rodinia_backprop,80,919,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 824, ""pmu_degraded"": 14, ""gpu_telemetry"": 80}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_backprop__REF__rep01
rodinia_backprop,82,944,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 847, ""pmu_degraded"": 14, ""gpu_telemetry"": 82}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_backprop__REF__rep02
rodinia_backprop,79,912,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 817, ""pmu_degraded"": 15, ""gpu_telemetry"": 79}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_backprop__REF__rep03
rodinia_dwt2d,197,2279,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 957, ""pmu_degraded"": 114, ""intensity_undefined"": 1010, ""gpu_telemetry"": 197}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_dwt2d__REF__rep01
rodinia_dwt2d,198,2287,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 934, ""pmu_degraded"": 137, ""intensity_undefined"": 1017, ""gpu_telemetry"": 198}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_dwt2d__REF__rep02
rodinia_dwt2d,200,2303,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 955, ""pmu_degraded"": 116, ""intensity_undefined"": 1031, ""gpu_telemetry"": 200}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_dwt2d__REF__rep03
rodinia_heartwall,30,341,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 17, ""gpu_telemetry"": 30}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_heartwall__REF__rep01
rodinia_heartwall,30,336,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 12, ""gpu_telemetry"": 30}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_heartwall__REF__rep02
rodinia_heartwall,30,345,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 21, ""gpu_telemetry"": 30}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_10000000/sweep_gpu_interval_10000000__rodinia_heartwall__REF__rep03
