kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
rodinia_heartwall,56,366,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 56}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_heartwall__REF__rep02
rodinia_heartwall,56,366,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 16, ""gpu_telemetry"": 56}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_heartwall__REF__rep03
rodinia_hotspot,1254,8230,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 586, ""intensity_undefined"": 4185, ""gpu_telemetry"": 1254}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_hotspot__REF__rep01
rodinia_hotspot,1245,8156,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2203, ""pmu_degraded"": 591, ""intensity_undefined"": 4116, ""gpu_telemetry"": 1245}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_hotspot__REF__rep02
rodinia_hotspot,1239,8154,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2203, ""pmu_degraded"": 587, ""intensity_undefined"": 4124, ""gpu_telemetry"": 1239}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_hotspot__REF__rep03
rodinia_lavamd,993,6526,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3751, ""pmu_degraded"": 1506, ""intensity_undefined"": 275, ""gpu_telemetry"": 993}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_lavamd__REF__rep01
rodinia_lavamd,997,6534,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3757, ""pmu_degraded"": 1507, ""intensity_undefined"": 272, ""gpu_telemetry"": 997}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_lavamd__REF__rep02
rodinia_lavamd,987,6499,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3736, ""pmu_degraded"": 1506, ""intensity_undefined"": 269, ""gpu_telemetry"": 987}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_lavamd__REF__rep03
rodinia_lud,1551,10230,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7678, ""gpu_telemetry"": 1551}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_lud__REF__rep01
rodinia_lud,1502,10478,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7975, ""gpu_telemetry"": 1502}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_lud__REF__rep02
rodinia_lud,1457,10133,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7675, ""gpu_telemetry"": 1457}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_lud__REF__rep03
rodinia_myocyte,1167,7666,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 949, ""pmu_degraded"": 2446, ""intensity_undefined"": 3103, ""gpu_telemetry"": 1167}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_myocyte__REF__rep01
rodinia_myocyte,1167,7672,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 957, ""pmu_degraded"": 2424, ""intensity_undefined"": 3123, ""gpu_telemetry"": 1167}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_myocyte__REF__rep02
rodinia_myocyte,1163,7653,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 948, ""pmu_degraded"": 2451, ""intensity_undefined"": 3090, ""gpu_telemetry"": 1163}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_5000000/sweep_gpu_interval_5000000__rodinia_myocyte__REF__rep03
gpu_dgemm_n4096,89,4587,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 397, ""pmu_degraded"": 3886, ""intensity_undefined"": 72, ""ok"": 142, ""gpu_telemetry"": 89}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__gpu_dgemm_n4096__REF__rep01
gpu_dgemm_n4096,89,4576,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 388, ""pmu_degraded"": 3884, ""intensity_undefined"": 77, ""ok"": 137, ""gpu_telemetry"": 89}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__gpu_dgemm_n4096__REF__rep02
gpu_dgemm_n4096,89,4581,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 392, ""pmu_degraded"": 3886, ""ok"": 142, ""intensity_undefined"": 71, ""gpu_telemetry"": 89}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__gpu_dgemm_n4096__REF__rep03
rodinia_backprop,17,849,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 15, ""gpu_telemetry"": 17}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_backprop__REF__rep01
rodinia_backprop,17,848,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 14, ""gpu_telemetry"": 17}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_backprop__REF__rep02
rodinia_backprop,17,846,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 813, ""pmu_degraded"": 15, ""gpu_telemetry"": 17}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_backprop__REF__rep03
rodinia_dwt2d,42,2150,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 948, ""pmu_degraded"": 122, ""intensity_undefined"": 1037, ""gpu_telemetry"": 42}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_dwt2d__REF__rep01
rodinia_dwt2d,43,2182,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 948, ""pmu_degraded"": 133, ""intensity_undefined"": 1057, ""gpu_telemetry"": 43}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_dwt2d__REF__rep02
rodinia_dwt2d,42,2132,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 119, ""intensity_undefined"": 1020, ""gpu_telemetry"": 42}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_dwt2d__REF__rep03
rodinia_heartwall,7,321,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 20, ""gpu_telemetry"": 7}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_heartwall__REF__rep01
rodinia_heartwall,7,317,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 7}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_heartwall__REF__rep02
rodinia_heartwall,7,314,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 13, ""gpu_telemetry"": 7}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_heartwall__REF__rep03
rodinia_hotspot,138,7101,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 590, ""intensity_undefined"": 4168, ""gpu_telemetry"": 138}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_hotspot__REF__rep01
rodinia_hotspot,137,7046,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 590, ""intensity_undefined"": 4114, ""gpu_telemetry"": 137}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_hotspot__REF__rep02
rodinia_hotspot,137,7044,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 592, ""intensity_undefined"": 4109, ""gpu_telemetry"": 137}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_hotspot__REF__rep03
rodinia_lavamd,110,5635,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3742, ""pmu_degraded"": 1506, ""intensity_undefined"": 276, ""gpu_telemetry"": 110}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_lavamd__REF__rep01
rodinia_lavamd,110,5632,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3748, ""pmu_degraded"": 1506, ""intensity_undefined"": 267, ""gpu_telemetry"": 110}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_lavamd__REF__rep02
rodinia_lavamd,110,5628,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3742, ""pmu_degraded"": 1508, ""intensity_undefined"": 267, ""gpu_telemetry"": 110}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_lavamd__REF__rep03
rodinia_lud,172,8862,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7689, ""gpu_telemetry"": 172}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_lud__REF__rep01
rodinia_lud,172,8860,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7687, ""gpu_telemetry"": 172}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_lud__REF__rep02
rodinia_lud,177,9118,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 974, ""pmu_degraded"": 26, ""intensity_undefined"": 7940, ""gpu_telemetry"": 177}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_lud__REF__rep03
rodinia_myocyte,128,6598,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 958, ""pmu_degraded"": 2409, ""intensity_undefined"": 3102, ""gpu_telemetry"": 128}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_myocyte__REF__rep01
rodinia_myocyte,130,6673,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 959, ""pmu_degraded"": 2433, ""intensity_undefined"": 3150, ""gpu_telemetry"": 130}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_myocyte__REF__rep02
rodinia_myocyte,129,6637,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 951, ""pmu_degraded"": 2438, ""intensity_undefined"": 3118, ""gpu_telemetry"": 129}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_50000000/sweep_gpu_interval_50000000__rodinia_myocyte__REF__rep03
