elapsed_seconds,gpu_interval_ns,kernel_ref,n_gpu_telemetry,n_windows_total,phase_label_train,quality_json,repetition,success
4.9311804519966245,5000000,gpu_dgemm_n4096,812,5303,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 395, ""pmu_degraded"": 3886, ""intensity_undefined"": 71, ""no_freq_reading"": 138, ""gpu_telemetry"": 812}",3,True
7.384655543603003,5000000,rodinia_hotspot,1254,8230,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 586, ""intensity_undefined"": 4185, ""gpu_telemetry"": 1254}",1,True
7.335458729416132,5000000,rodinia_hotspot,1245,8156,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2203, ""pmu_degraded"": 591, ""intensity_undefined"": 4116, ""gpu_telemetry"": 1245}",2,True
7.333985299803317,5000000,rodinia_hotspot,1239,8154,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2203, ""pmu_degraded"": 587, ""intensity_undefined"": 4124, ""gpu_telemetry"": 1239}",3,True
1.271481734700501,5000000,rodinia_backprop,151,996,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 829, ""pmu_degraded"": 15, ""gpu_telemetry"": 151}",1,True
1.2715609772130847,5000000,rodinia_backprop,149,980,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 815, ""pmu_degraded"": 15, ""gpu_telemetry"": 149}",2,True
1.2714130189269781,5000000,rodinia_backprop,151,990,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 15, ""gpu_telemetry"": 151}",3,True
5.981643314473331,5000000,rodinia_lavamd,993,6526,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3751, ""pmu_degraded"": 1506, ""intensity_undefined"": 275, ""gpu_telemetry"": 993}",1,True
5.982273796573281,5000000,rodinia_lavamd,997,6534,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3757, ""pmu_degraded"": 1507, ""intensity_undefined"": 272, ""gpu_telemetry"": 997}",2,True
5.932016916573048,5000000,rodinia_lavamd,987,6499,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3736, ""pmu_degraded"": 1506, ""intensity_undefined"": 269, ""gpu_telemetry"": 987}",3,True
0.7224786998704076,5000000,rodinia_heartwall,55,365,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 55}",1,True
0.7193479789420962,5000000,rodinia_heartwall,56,366,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 56}",2,True
0.7195490822196007,5000000,rodinia_heartwall,56,366,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 279, ""pmu_degraded"": 14, ""intensity_undefined"": 16, ""gpu_telemetry"": 56}",3,True
9.088521224446595,5000000,rodinia_lud,1551,10230,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7678, ""gpu_telemetry"": 1551}",1,True
9.440202569589019,5000000,rodinia_lud,1502,10478,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7975, ""gpu_telemetry"": 1502}",2,True
9.089411053806543,5000000,rodinia_lud,1457,10133,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7675, ""gpu_telemetry"": 1457}",3,True
6.933561710640788,5000000,rodinia_myocyte,1167,7666,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 949, ""pmu_degraded"": 2446, ""intensity_undefined"": 3103, ""gpu_telemetry"": 1167}",1,True
6.93368118815124,5000000,rodinia_myocyte,1167,7672,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 957, ""pmu_degraded"": 2424, ""intensity_undefined"": 3123, ""gpu_telemetry"": 1167}",2,True
6.933966217562556,5000000,rodinia_myocyte,1163,7653,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 948, ""pmu_degraded"": 2451, ""intensity_undefined"": 3090, ""gpu_telemetry"": 1163}",3,True
2.5238833921030164,5000000,rodinia_dwt2d,375,2460,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 966, ""pmu_degraded"": 104, ""intensity_undefined"": 1014, ""gpu_telemetry"": 375}",1,True
2.5239728428423405,5000000,rodinia_dwt2d,375,2471,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 947, ""pmu_degraded"": 123, ""intensity_undefined"": 1025, ""gpu_telemetry"": 375}",2,True
2.523333977907896,5000000,rodinia_dwt2d,378,2486,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 946, ""pmu_degraded"": 123, ""intensity_undefined"": 1038, ""gpu_telemetry"": 378}",3,True
4.931431199423969,10000000,gpu_dgemm_n4096,429,4924,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 392, ""pmu_degraded"": 3886, ""intensity_undefined"": 80, ""no_freq_reading"": 136, ""gpu_telemetry"": 429}",1,True
4.930042690597475,10000000,gpu_dgemm_n4096,425,4911,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 387, ""pmu_degraded"": 3884, ""intensity_undefined"": 74, ""no_freq_reading"": 140, ""gpu_telemetry"": 425}",2,True
4.980126677080989,10000000,gpu_dgemm_n4096,431,4975,compute_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 440, ""pmu_degraded"": 3885, ""intensity_undefined"": 72, ""no_freq_reading"": 146, ""gpu_telemetry"": 431}",3,True
7.434369350783527,10000000,rodinia_hotspot,656,7639,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 593, ""intensity_undefined"": 4184, ""gpu_telemetry"": 656}",1,True
7.385699062608182,10000000,rodinia_hotspot,655,7574,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 597, ""intensity_undefined"": 4116, ""gpu_telemetry"": 655}",2,True
7.335078973323107,10000000,rodinia_hotspot,652,7564,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2205, ""pmu_degraded"": 594, ""intensity_undefined"": 4112, ""gpu_telemetry"": 652}",3,True
1.2705989563837647,10000000,rodinia_backprop,80,919,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 824, ""pmu_degraded"": 14, ""gpu_telemetry"": 80}",1,True
1.2718338407576084,10000000,rodinia_backprop,82,944,memory_bound,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 847, ""pmu_degraded"": 14, ""gpu_telemetry"": 82}",2,True
