device,family,kernel_ref,freq_level_id,n_rows_usable,n_compute_bound,n_memory_bound,memory_fraction,n_near_ridge,near_ridge_fraction,median_log2_oi_over_ridge
cpu,rajaperf_polybench,rajaperf_polybench_3mm_omp,REF,3020,2467,553,0.18311258278145695,556,0.18410596026490067,2.7256201178414434
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F0,372,0,372,1.0,0,0.0,-7.975203601758418
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F1,366,0,366,1.0,0,0.0,-7.8965155365609885
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F2,382,0,382,1.0,5,0.013089005235602094,-7.733519330619229
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F3,398,0,398,1.0,4,0.010050251256281407,-7.584075248534161
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F4,404,0,404,1.0,4,0.009900990099009901,-7.397190203409135
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F5,419,6,413,0.9856801909307876,6,0.014319809069212411,-7.204112955211838
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F6,443,8,435,0.981941309255079,14,0.03160270880361174,-6.990640988941398
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F7,496,13,483,0.9737903225806451,9,0.018145161290322582,-6.739780362554087
cpu,rajaperf_stream,cpu_rajaperf_stream_add,F8,605,16,589,0.9735537190082645,8,0.013223140495867768,-6.433912379074233
cpu,rajaperf_stream,cpu_rajaperf_stream_add,REF,383,0,383,1.0,0,0.0,-7.9734699717193145
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F0,899,0,899,1.0,0,0.0,-7.56816187902393
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F1,913,0,913,1.0,3,0.0032858707557502738,-7.500715596990618
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F2,896,0,896,1.0,4,0.004464285714285714,-7.330953565153894
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F3,892,0,892,1.0,12,0.013452914798206279,-7.1799505561733294
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F4,920,9,911,0.9902173913043478,14,0.015217391304347827,-6.986685350665388
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F5,954,11,943,0.9884696016771488,13,0.013626834381551363,-6.793557625058095
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F6,984,13,971,0.9867886178861789,7,0.007113821138211382,-6.583846090368004
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F7,1032,14,1018,0.9864341085271318,4,0.003875968992248062,-6.3388577794235825
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,F8,1264,17,1247,0.9865506329113924,9,0.007120253164556962,-6.020713315197258
cpu,rajaperf_stream,cpu_rajaperf_stream_mul,REF,907,3,904,0.9966923925027563,7,0.007717750826901874,-7.577445277913574
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F0,384,2,382,0.9947916666666666,6,0.015625,-6.978206627181077
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F1,381,0,381,1.0,5,0.013123359580052493,-6.903949177798316
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F2,391,2,389,0.9948849104859335,3,0.0076726342710997444,-6.74566779569694
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F3,385,0,385,1.0,1,0.0025974025974025974,-6.591803934245887
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F4,403,7,396,0.9826302729528535,8,0.019851116625310174,-6.395989583391017
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F5,427,10,417,0.9765807962529274,5,0.0117096018735363,-6.212900934416445
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F6,442,14,428,0.9683257918552036,2,0.004524886877828055,-5.993655952911
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F7,498,14,484,0.9718875502008032,0,0.0,-5.743852997613972
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,F8,594,14,580,0.9764309764309764,0,0.0,-5.4331212837738025
cpu,rajaperf_stream,cpu_rajaperf_stream_triad,REF,390,2,388,0.9948717948717949,16,0.041025641025641026,-6.984581135773025
cpu,rodinia_lavamd,rodinia_lavamd_omp,F0,1577,1577,0,0.0,0,0.0,4.838512864956611
cpu,rodinia_lavamd,rodinia_lavamd_omp,F1,1763,1762,1,0.0005672149744753262,3,0.0017016449234259785,4.867907131544793
cpu,rodinia_lavamd,rodinia_lavamd_omp,F2,1958,1958,0,0.0,3,0.0015321756894790602,4.980765288994503
cpu,rodinia_lavamd,rodinia_lavamd_omp,F3,2211,2210,1,0.0004522840343735866,2,0.0009045680687471732,4.986216040379254
cpu,rodinia_lavamd,rodinia_lavamd_omp,F4,2621,2621,0,0.0,3,0.0011446012972148034,5.090331632203434
cpu,rodinia_lavamd,rodinia_lavamd_omp,F5,3176,3176,0,0.0,5,0.0015743073047858943,5.144198915382588
cpu,rodinia_lavamd,rodinia_lavamd_omp,F6,4142,4139,3,0.0007242877836793819,6,0.0014485755673587638,5.156590183086336
cpu,rodinia_lavamd,rodinia_lavamd_omp,F7,5237,5234,3,0.0005728470498376934,8,0.0015275921329005156,5.109124661534805
cpu,rodinia_lavamd,rodinia_lavamd_omp,F8,7274,7267,7,0.000962331591971405,8,0.0010998075336816058,5.178886163824387
cpu,rodinia_lavamd,rodinia_lavamd_omp,REF,1700,1700,0,0.0,0,0.0,4.817990881450166
