,ipc,mpki,cache_miss_rate,stall_mem_ratio,ips,freq_khz_observed
ipc,1.0,-0.41359881782896873,0.1100247456460467,-0.7410987938975608,0.7243221234768338,-0.18267691281788753
mpki,-0.41359881782896873,1.0,0.5593524128504503,0.6169395241678912,-0.3980819978504154,0.0702037339502753
cache_miss_rate,0.1100247456460467,0.5593524128504503,1.0,0.11409550198905338,-0.006484127495257243,0.017120382227911995
stall_mem_ratio,-0.7410987938975608,0.6169395241678912,0.11409550198905338,1.0,-0.503529672349647,0.22480977669174468
ips,0.7243221234768338,-0.3980819978504154,-0.006484127495257243,-0.503529672349647,1.0,0.4198820625449143
freq_khz_observed,-0.18267691281788753,0.0702037339502753,0.017120382227911995,0.22480977669174468,0.4198820625449143,1.0
