family,kernel_ref,freq_level_id,n_compute_bound,n_memory_bound,n_rows_usable,memory_fraction
dual_cholesky,dual_cholesky_cpu_N2048,F6,152,266,418,0.6363636363636364
dual_cholesky,dual_cholesky_cpu_N2048,F7,187,291,478,0.608786610878661
dual_cholesky,dual_cholesky_cpu_N2048,F8,329,493,822,0.5997566909975669
dual_cholesky,dual_cholesky_cpu_N2048,REF,78,300,378,0.7936507936507936
dual_cholesky,dual_cholesky_cpu_N256,F0,345,0,345,0.0
dual_cholesky,dual_cholesky_cpu_N256,F1,380,0,380,0.0
dual_cholesky,dual_cholesky_cpu_N256,F2,422,0,422,0.0
dual_cholesky,dual_cholesky_cpu_N256,F3,489,0,489,0.0
dual_cholesky,dual_cholesky_cpu_N256,F4,593,0,593,0.0
dual_cholesky,dual_cholesky_cpu_N256,F5,705,0,705,0.0
dual_cholesky,dual_cholesky_cpu_N256,F6,798,0,798,0.0
dual_cholesky,dual_cholesky_cpu_N256,F7,1005,0,1005,0.0
dual_cholesky,dual_cholesky_cpu_N256,F8,1373,0,1373,0.0
dual_cholesky,dual_cholesky_cpu_N256,REF,397,0,397,0.0
dual_fft,dual_fft_cpu_N1024,F0,0,295,295,1.0
dual_fft,dual_fft_cpu_N1024,F1,0,303,303,1.0
dual_fft,dual_fft_cpu_N1024,F2,0,312,312,1.0
dual_fft,dual_fft_cpu_N1024,F3,0,318,318,1.0
dual_fft,dual_fft_cpu_N1024,F4,0,345,345,1.0
dual_fft,dual_fft_cpu_N1024,F5,0,377,377,1.0
dual_fft,dual_fft_cpu_N1024,F6,0,416,416,1.0
dual_fft,dual_fft_cpu_N1024,F7,0,493,493,1.0
dual_fft,dual_fft_cpu_N1024,F8,0,643,643,1.0
dual_fft,dual_fft_cpu_N1024,REF,0,334,334,1.0
dual_fft,dual_fft_cpu_N128,F0,282,0,282,0.0
dual_fft,dual_fft_cpu_N128,F1,305,0,305,0.0
dual_fft,dual_fft_cpu_N128,F2,333,0,333,0.0
dual_fft,dual_fft_cpu_N128,F3,372,0,372,0.0
dual_fft,dual_fft_cpu_N128,F4,423,0,423,0.0
dual_fft,dual_fft_cpu_N128,F5,499,0,499,0.0
dual_fft,dual_fft_cpu_N128,F6,603,0,603,0.0
dual_fft,dual_fft_cpu_N128,F7,767,0,767,0.0
dual_fft,dual_fft_cpu_N128,F8,1071,0,1071,0.0
dual_fft,dual_fft_cpu_N128,REF,323,0,323,0.0
dual_fft,dual_fft_cpu_N4096,F0,0,403,403,1.0
dual_fft,dual_fft_cpu_N4096,F1,0,412,412,1.0
dual_fft,dual_fft_cpu_N4096,F2,0,425,425,1.0
dual_fft,dual_fft_cpu_N4096,F3,0,431,431,1.0
dual_fft,dual_fft_cpu_N4096,F4,0,450,450,1.0
dual_fft,dual_fft_cpu_N4096,F5,0,511,511,1.0
dual_fft,dual_fft_cpu_N4096,F6,0,557,557,1.0
dual_fft,dual_fft_cpu_N4096,F7,0,610,610,1.0
dual_fft,dual_fft_cpu_N4096,F8,0,827,827,1.0
dual_fft,dual_fft_cpu_N4096,REF,0,489,489,1.0
dual_fft,dual_fft_cpu_N472,F0,0,151,151,1.0
dual_fft,dual_fft_cpu_N472,F1,2,177,179,0.9888268156424581
dual_fft,dual_fft_cpu_N472,F2,13,181,194,0.9329896907216495
dual_fft,dual_fft_cpu_N472,F3,129,91,220,0.41363636363636364
dual_fft,dual_fft_cpu_N472,F4,252,5,257,0.019455252918287938
dual_fft,dual_fft_cpu_N472,F5,311,3,314,0.009554140127388535
dual_fft,dual_fft_cpu_N472,F6,386,4,390,0.010256410256410256
dual_fft,dual_fft_cpu_N472,F7,508,0,508,0.0
dual_fft,dual_fft_cpu_N472,F8,713,1,714,0.0014005602240896359
dual_fft,dual_fft_cpu_N472,REF,0,193,193,1.0
dual_gemm,dual_gemm_cpu_N2048,F0,305,0,305,0.0
dual_gemm,dual_gemm_cpu_N2048,F1,339,0,339,0.0
dual_gemm,dual_gemm_cpu_N2048,F2,380,0,380,0.0
dual_gemm,dual_gemm_cpu_N2048,F3,435,0,435,0.0
dual_gemm,dual_gemm_cpu_N2048,F4,509,0,509,0.0
dual_gemm,dual_gemm_cpu_N2048,F5,604,0,604,0.0
dual_gemm,dual_gemm_cpu_N2048,F6,746,0,746,0.0
dual_gemm,dual_gemm_cpu_N2048,F7,967,0,967,0.0
dual_gemm,dual_gemm_cpu_N2048,F8,1351,7,1358,0.005154639175257732
dual_gemm,dual_gemm_cpu_N2048,REF,345,2,347,0.005763688760806916
dual_spmv,dual_spmv_cpu_N100000,F0,200,0,200,0.0
dual_spmv,dual_spmv_cpu_N100000,F1,217,0,217,0.0
dual_spmv,dual_spmv_cpu_N100000,F2,243,0,243,0.0
dual_spmv,dual_spmv_cpu_N100000,F3,283,0,283,0.0
dual_spmv,dual_spmv_cpu_N100000,F4,337,0,337,0.0
dual_spmv,dual_spmv_cpu_N100000,F5,407,0,407,0.0
dual_spmv,dual_spmv_cpu_N100000,F6,513,0,513,0.0
dual_spmv,dual_spmv_cpu_N100000,F7,685,0,685,0.0
dual_spmv,dual_spmv_cpu_N100000,F8,963,0,963,0.0
dual_spmv,dual_spmv_cpu_N100000,REF,237,0,237,0.0
dual_spmv,dual_spmv_cpu_N1000000,F0,0,226,226,1.0
dual_spmv,dual_spmv_cpu_N1000000,F1,0,228,228,1.0
dual_spmv,dual_spmv_cpu_N1000000,F2,0,236,236,1.0
dual_spmv,dual_spmv_cpu_N1000000,F3,0,247,247,1.0
dual_spmv,dual_spmv_cpu_N1000000,F4,0,261,261,1.0
dual_spmv,dual_spmv_cpu_N1000000,F5,0,276,276,1.0
dual_spmv,dual_spmv_cpu_N1000000,F6,0,369,369,1.0
dual_spmv,dual_spmv_cpu_N1000000,F7,0,392,392,1.0
dual_spmv,dual_spmv_cpu_N1000000,F8,0,559,559,1.0
dual_spmv,dual_spmv_cpu_N1000000,REF,0,266,266,1.0
dual_stencil,dual_stencil_cpu_N1024,F0,0,292,292,1.0
dual_stencil,dual_stencil_cpu_N1024,F1,0,299,299,1.0
dual_stencil,dual_stencil_cpu_N1024,F2,0,319,319,1.0
dual_stencil,dual_stencil_cpu_N1024,F3,0,324,324,1.0
dual_stencil,dual_stencil_cpu_N1024,F4,0,352,352,1.0
dual_stencil,dual_stencil_cpu_N1024,F5,0,383,383,1.0
dual_stencil,dual_stencil_cpu_N1024,F6,0,432,432,1.0
dual_stencil,dual_stencil_cpu_N1024,F7,0,526,526,1.0
dual_stencil,dual_stencil_cpu_N1024,F8,0,715,715,1.0
dual_stencil,dual_stencil_cpu_N1024,REF,0,325,325,1.0
dual_stencil,dual_stencil_cpu_N1536,F0,0,289,289,1.0
dual_stencil,dual_stencil_cpu_N1536,F1,0,302,302,1.0
dual_stencil,dual_stencil_cpu_N1536,F2,0,306,306,1.0
dual_stencil,dual_stencil_cpu_N1536,F3,0,319,319,1.0
dual_stencil,dual_stencil_cpu_N1536,F4,0,343,343,1.0
dual_stencil,dual_stencil_cpu_N1536,F5,0,370,370,1.0
dual_stencil,dual_stencil_cpu_N1536,F6,0,420,420,1.0
dual_stencil,dual_stencil_cpu_N1536,F7,0,503,503,1.0
dual_stencil,dual_stencil_cpu_N1536,F8,0,661,661,1.0
dual_stencil,dual_stencil_cpu_N1536,REF,0,326,326,1.0
dual_stencil,dual_stencil_cpu_N256,F0,287,0,287,0.0
dual_stencil,dual_stencil_cpu_N256,F1,309,0,309,0.0
dual_stencil,dual_stencil_cpu_N256,F2,345,0,345,0.0
dual_stencil,dual_stencil_cpu_N256,F3,397,0,397,0.0
dual_stencil,dual_stencil_cpu_N256,F4,446,0,446,0.0
dual_stencil,dual_stencil_cpu_N256,F5,529,0,529,0.0
dual_stencil,dual_stencil_cpu_N256,F6,668,0,668,0.0
dual_stencil,dual_stencil_cpu_N256,F7,840,0,840,0.0
dual_stencil,dual_stencil_cpu_N256,F8,1155,2,1157,0.001728608470181504
dual_stencil,dual_stencil_cpu_N256,REF,335,0,335,0.0
dual_stencil,dual_stencil_cpu_N512,F0,274,5,279,0.017921146953405017
dual_stencil,dual_stencil_cpu_N512,F1,265,36,301,0.11960132890365449
dual_stencil,dual_stencil_cpu_N512,F2,209,119,328,0.3628048780487805
dual_stencil,dual_stencil_cpu_N512,F3,362,1,363,0.0027548209366391185
dual_stencil,dual_stencil_cpu_N512,F4,412,1,413,0.002421307506053269
dual_stencil,dual_stencil_cpu_N512,F5,468,9,477,0.018867924528301886
dual_stencil,dual_stencil_cpu_N512,F6,579,1,580,0.0017241379310344827
dual_stencil,dual_stencil_cpu_N512,F7,736,4,740,0.005405405405405406
dual_stencil,dual_stencil_cpu_N512,F8,1004,20,1024,0.01953125
dual_stencil,dual_stencil_cpu_N512,REF,320,1,321,0.003115264797507788
gap_pr,cpu_gap_pr,F0,0,1349,1349,1.0
gap_pr,cpu_gap_pr,F1,0,1433,1433,1.0
gap_pr,cpu_gap_pr,F2,0,1564,1564,1.0
gap_pr,cpu_gap_pr,F3,0,1741,1741,1.0
gap_pr,cpu_gap_pr,F4,0,1960,1960,1.0
gap_pr,cpu_gap_pr,F5,0,2295,2295,1.0
gap_pr,cpu_gap_pr,F6,0,2882,2882,1.0
gap_pr,cpu_gap_pr,F7,0,3441,3441,1.0
gap_pr,cpu_gap_pr,F8,0,5204,5204,1.0
gap_pr,cpu_gap_pr,REF,0,1673,1673,1.0
hpccg_cpu_N46,hpccg_cpu_N46,F0,408,202,610,0.33114754098360655
hpccg_cpu_N46,hpccg_cpu_N46,F1,216,432,648,0.6666666666666666
hpccg_cpu_N46,hpccg_cpu_N46,F2,444,256,700,0.3657142857142857
hpccg_cpu_N46,hpccg_cpu_N46,F3,518,261,779,0.33504492939666236
hpccg_cpu_N46,hpccg_cpu_N46,F4,893,8,901,0.008879023307436182
hpccg_cpu_N46,hpccg_cpu_N46,F5,1052,1,1053,0.000949667616334283
hpccg_cpu_N46,hpccg_cpu_N46,F6,1296,9,1305,0.006896551724137931
hpccg_cpu_N46,hpccg_cpu_N46,F7,1124,559,1683,0.33214497920380276
hpccg_cpu_N46,hpccg_cpu_N46,F8,2325,4,2329,0.0017174753112924003
hpccg_cpu_N46,hpccg_cpu_N46,REF,491,167,658,0.25379939209726443
npb_bt,npb_bt,F0,28,6165,6193,0.9954787663491038
npb_bt,npb_bt,F1,272,6475,6747,0.9596857862753817
npb_bt,npb_bt,F2,1323,6125,7448,0.8223684210526315
npb_bt,npb_bt,F3,3083,5189,8272,0.6272969052224371
npb_bt,npb_bt,F4,7406,2021,9427,0.2143842155510767
npb_bt,npb_bt,F5,9100,1905,11005,0.17310313493866425
npb_bt,npb_bt,F6,11373,1874,13247,0.14146599230014342
npb_bt,npb_bt,F7,14868,1945,16813,0.11568429191696901
npb_bt,npb_bt,F8,20923,2303,23226,0.09915611814345991
npb_bt,npb_bt,REF,21,6206,6227,0.9966275895294684
npb_cg,npb_cg,F0,0,1572,1572,1.0
npb_cg,npb_cg,F1,0,1664,1664,1.0
npb_cg,npb_cg,F2,0,1802,1802,1.0
npb_cg,npb_cg,F3,0,1982,1982,1.0
npb_cg,npb_cg,F4,0,2224,2224,1.0
npb_cg,npb_cg,F5,0,2561,2561,1.0
npb_cg,npb_cg,F6,0,3076,3076,1.0
npb_cg,npb_cg,F7,0,3882,3882,1.0
npb_cg,npb_cg,F8,0,5404,5404,1.0
npb_cg,npb_cg,REF,0,1603,1603,1.0
npb_ft,npb_ft,F0,75,832,907,0.9173098125689085
npb_ft,npb_ft,F1,0,953,953,1.0
npb_ft,npb_ft,F2,0,1069,1069,1.0
npb_ft,npb_ft,F3,177,1030,1207,0.8533554266777134
npb_ft,npb_ft,F4,244,1177,1421,0.8282899366643209
npb_ft,npb_ft,F5,0,1570,1570,1.0
npb_ft,npb_ft,F6,42,1888,1930,0.9782383419689119
npb_ft,npb_ft,F7,3,2390,2393,0.9987463435018805
npb_ft,npb_ft,F8,41,3289,3330,0.9876876876876877
npb_ft,npb_ft,REF,0,899,899,1.0
npb_lu,npb_lu,F0,0,4131,4131,1.0
npb_lu,npb_lu,F1,0,4414,4414,1.0
npb_lu,npb_lu,F2,0,4864,4864,1.0
npb_lu,npb_lu,F3,2,5399,5401,0.9996296982040362
npb_lu,npb_lu,F4,449,5700,6149,0.9269799967474386
npb_lu,npb_lu,F5,1004,6189,7193,0.8604198526345058
npb_lu,npb_lu,F6,2589,6001,8590,0.6986030267753202
npb_lu,npb_lu,F7,6700,4198,10898,0.38520829510001836
npb_lu,npb_lu,F8,10450,4585,15035,0.30495510475557036
npb_lu,npb_lu,REF,0,4082,4082,1.0
npb_mg,npb_mg,F0,0,115,115,1.0
npb_mg,npb_mg,F1,0,117,117,1.0
npb_mg,npb_mg,F2,0,124,124,1.0
npb_mg,npb_mg,F3,0,131,131,1.0
npb_mg,npb_mg,F4,0,146,146,1.0
npb_mg,npb_mg,F5,0,167,167,1.0
npb_mg,npb_mg,F6,0,204,204,1.0
npb_mg,npb_mg,F7,0,262,262,1.0
npb_mg,npb_mg,F8,0,382,382,1.0
npb_mg,npb_mg,REF,0,130,130,1.0
npb_sp,npb_sp,F0,0,4003,4003,1.0
npb_sp,npb_sp,F1,0,4158,4158,1.0
npb_sp,npb_sp,F2,0,4433,4433,1.0
npb_sp,npb_sp,F3,0,4640,4640,1.0
npb_sp,npb_sp,F4,0,5042,5042,1.0
npb_sp,npb_sp,F5,0,5579,5579,1.0
npb_sp,npb_sp,F6,0,6358,6358,1.0
npb_sp,npb_sp,F7,0,7728,7728,1.0
npb_sp,npb_sp,F8,346,9957,10303,0.9664175482869067
npb_sp,npb_sp,REF,0,4029,4029,1.0
phasic,phasic_p010,F0,4520,6,4526,0.0013256738842244808
phasic,phasic_p010,F1,4525,4,4529,0.0008831971737690439
phasic,phasic_p010,F2,4519,9,4528,0.001987632508833922
phasic,phasic_p010,F3,4526,4,4530,0.0008830022075055188
phasic,phasic_p010,F4,4530,4,4534,0.000882223202470225
phasic,phasic_p010,F5,4534,2,4536,0.0004409171075837742
phasic,phasic_p010,F6,4537,8,4545,0.0017601760176017601
phasic,phasic_p010,F7,4544,2,4546,0.0004399472063352398
phasic,phasic_p010,F8,4558,6,4564,0.0013146362839614374
phasic,phasic_p010,REF,4538,6,4544,0.0013204225352112676
phasic,phasic_p100,F0,2520,2012,4532,0.4439541041482789
phasic,phasic_p100,F1,2522,2012,4534,0.4437582708425232
phasic,phasic_p100,F2,2517,2022,4539,0.4454725710508923
phasic,phasic_p100,F3,2518,2018,4536,0.44488536155202824
phasic,phasic_p100,F4,2516,2023,4539,0.44569288389513106
phasic,phasic_p100,F5,2525,2019,4544,0.44432218309859156
phasic,phasic_p100,F6,2532,2017,4549,0.4433941525610024
phasic,phasic_p100,F7,2526,2030,4556,0.44556628621597894
