,vif_pearson,vif_spearman
ipc,5.54539934182737,7.275480892499961
mpki,1.0004171137711972,2.7832682923081733
cache_miss_rate,1.1765810295622092,1.8783066946215132
stall_mem_ratio,2.562525695949343,3.1055793093731885
ips,5.4340746854818445,6.870523683780644
freq_khz_observed,3.1302556985199423,3.2907149532289517
