threshold,family,class,n,seed,decided,coverage,accuracy_decided
0.8,rajaperf_cuda_gemm,memory_bound,9,2.0,9.0,1.0,1.0
0.8,rajaperf_cuda_heat_3d,memory_bound,18,2.0,17.4,0.9666666666666666,1.0
0.8,rajaperf_cuda_jacobi_2d,memory_bound,30,2.0,30.0,1.0,1.0
0.8,rajaperf_stream,memory_bound,30,2.0,30.0,1.0,1.0
0.8,rodinia_gaussian,memory_bound,30,2.0,13.6,0.4533333333333333,0.7841093117408906
0.8,rodinia_heartwall,compute_bound,30,2.0,18.0,0.6,1.0
0.8,rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,30,2.0,17.2,0.5733333333333334,1.0
0.8,rodinia_lud,compute_bound,12,2.0,12.0,1.0,0.0
0.8,rodinia_lud,memory_bound,18,2.0,18.0,1.0,1.0
0.85,dual_axpy,memory_bound,45,2.0,37.0,0.8222222222222222,1.0
0.85,dual_cholesky,compute_bound,30,2.0,0.6,0.02,0.0
0.85,dual_fft,compute_bound,3,2.0,3.0,1.0,0.0
0.85,dual_fft,memory_bound,27,2.0,23.0,0.8518518518518519,1.0
0.85,dual_spmv,memory_bound,60,2.0,49.0,0.8166666666666667,1.0
0.85,dual_stencil,memory_bound,45,2.0,30.0,0.6666666666666666,1.0
0.85,gpu_cutlass_simt_conv2d,compute_bound,30,2.0,26.2,0.8733333333333334,1.0
0.85,gpu_cutlass_simt_dgemm_n4096,compute_bound,24,2.0,15.0,0.625,1.0
0.85,minibude_cuda_bm1,compute_bound,3,2.0,3.0,1.0,1.0
0.85,rajaperf_cuda_gemm,compute_bound,9,2.0,9.0,1.0,0.6666666666666666
0.85,rajaperf_cuda_gemm,memory_bound,9,2.0,9.0,1.0,1.0
0.85,rajaperf_cuda_heat_3d,memory_bound,18,2.0,17.4,0.9666666666666666,1.0
0.85,rajaperf_cuda_jacobi_2d,memory_bound,30,2.0,29.2,0.9733333333333334,1.0
0.85,rajaperf_stream,memory_bound,30,2.0,30.0,1.0,1.0
0.85,rodinia_gaussian,memory_bound,30,2.0,10.0,0.3333333333333333,1.0
0.85,rodinia_heartwall,compute_bound,30,2.0,12.0,0.39999999999999997,1.0
0.85,rodinia_kmeans_gpu_N350000_D34_K200,compute_bound,30,2.0,7.8,0.26,1.0
0.85,rodinia_lud,compute_bound,12,2.0,12.0,1.0,0.0
0.85,rodinia_lud,memory_bound,18,2.0,18.0,1.0,1.0
0.9,dual_axpy,memory_bound,45,2.0,37.0,0.8222222222222222,1.0
0.9,dual_cholesky,compute_bound,30,2.0,0.0,0.0,
0.9,dual_fft,compute_bound,3,2.0,1.2,0.4,0.0
0.9,dual_fft,memory_bound,27,2.0,3.6,0.13333333333333333,1.0
0.9,dual_spmv,memory_bound,60,2.0,49.0,0.8166666666666667,1.0
0.9,dual_stencil,memory_bound,45,2.0,30.0,0.6666666666666666,1.0
0.9,gpu_cutlass_simt_conv2d,compute_bound,30,2.0,24.0,0.8,1.0
