bin_lo,bin_hi,n,confianza_media,exactitud_media
0.5,0.55,29,0.5155287508118572,0.6896551724137931
0.55,0.6,7,0.5800000000000001,0.5714285714285714
0.6,0.65,31,0.620787904957971,0.7741935483870968
0.65,0.7,8,0.6882499999999999,1.0
0.7,0.75,20,0.717,1.0
0.75,0.8,15,0.7745955555555554,0.26666666666666666
0.8,0.8500000000000001,36,0.8188200336700336,0.8888888888888888
0.8500000000000001,0.9,41,0.871518787283876,0.926829268292683
0.9,0.95,33,0.9274613636363637,0.9090909090909091
0.95,1.0,263,0.9958421577946769,0.9543726235741445
