threshold,n,decided,row_coverage,cell_coverage,accuracy_decided,cell_balanced_accuracy_decided,false_memory_on_compute,false_compute_on_memory,memory_precision,memory_recall_decided
0.9,483.0,299.8,0.620703933747412,0.657046783625731,0.9480453992947193,0.9000925925925927,15.6,0.0,0.9355540093819628,1.0
0.85,483.0,341.2,0.7064182194616977,0.7688986354775829,0.9453330127649962,0.8612085769980506,18.6,0.0,0.9313783106343804,1.0
0.8,483.0,370.6,0.7672877846790891,0.820672514619883,0.9351982884487187,0.8313873696837686,20.4,3.6,0.9268422699296724,0.986412546148749
0.7,483.0,404.6,0.8376811594202899,0.876578947368421,0.9184122081129523,0.8159147869674186,24.0,9.0,0.9175214755097034,0.9673894151072819
0.6,483.0,443.2,0.9175983436853002,0.9389473684210525,0.907906360358351,0.8311788242536163,24.2,16.6,0.9184651366354883,0.942590206185567
0.5,483.0,483.0,1.0,1.0,0.882815734989648,0.8192397660818713,29.6,27.0,0.9057690067592782,0.9134615384615385
