run_id,repetition,kernel_ref,node_id,phase_label_hint,phase_label_train,freq_level_id,freq_khz_requested,freq_khz_applied,freq_khz_observed,window_index,t_start_ns,t_end_ns,delta_t_ns,delta_instructions,delta_cycles,delta_cache_references,delta_cache_misses,delta_stalled_cycles_backend,stall_backend_ratio,delta_l2_lines_in_all,bytes_moved_l2_proxy,ipc,llc_miss_rate,mpki,ips,ipc_relative,mpki_relative,miss_rate_relative,delta_running_ns,delta_enabled_ns,running_ratio,pkg_delta_uj,dram_delta_uj,power_w,energy_valid,flops_window_estimate,bytes_moved_window,operational_intensity,i_ridge_used,roofline_calibration_ref,node_profile_ref,calibration_ref,binary_checksum,quality_status
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,10,5351119193781350,5351119194781401,1000051,64313373,20854242,48512,43074,247848,0.011884776248400685,48544,3106816,3.083946805642708,0.8879040237467019,0.6697518415026995,64310093185.24755,,,,6000583,6000583,1.0,135681,8691,135.63203683470266,1,30272385.66519487,2756736,10.981242188296184,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,11,5351119194781401,5351119195781541,1000140,64235153,20765143,48487,41165,199180,0.009592036038470817,48383,3096512,3.0934125038291334,0.8489904510487347,0.6408484774684043,64226161337.41276,,,,6001672,6001672,1.0,118408,7344,118.29597371289388,1,30235567.41268724,2634560,11.476515020605808,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,12,5351119195781541,5351119196781488,999947,63917105,20735316,48332,42433,244531,0.011792971951813997,48413,3098432,3.0825237965990007,0.8779483571960606,0.6638754993675011,63920492786.11767,,,,5998666,5998666,1.0,123657,8797,123.6662749706228,1,30085861.818548307,2715712,11.078443450022796,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,13,5351119196781488,5351119197781348,999860,64421807,20819616,48698,40328,178307,0.008564375058598583,48711,3117504,3.0942841116762194,0.8281243582898682,0.6259992055174732,64430827315.82422,,,,5992841,5992841,1.0,98694,6288,98.74149465893096,1,30323425.685553,2580992,11.748748421363956,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,14,5351119197781348,5351119198781423,1000075,64530869,20857714,48707,41689,182678,0.008758294413280382,48659,3114176,3.0938610530377395,0.8559139343420864,0.6460319014144998,64526029547.78391,,,,5999938,5999938,1.0,130370,7360,130.26578737010394,1,30374761.306302004,2668096,11.384433433542872,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,15,5351119198781423,5351119199781570,1000147,64533647,20859607,48720,38078,189258,0.009072941786487156,48734,3118976,3.0937134625786573,0.781568144499179,0.5900487849384988,64524161948.19361,,,,6000797,6000797,1.0,123657,7558,123.7887111887048,1,30376068.914400525,2436992,12.464574735740014,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,16,5351119199781570,5351119200781496,999926,64353402,20856572,48617,38409,230602,0.01105656289058432,48628,3112192,3.085521532493451,0.7900322932307628,0.5968449033976478,64358164504.17331,,,,5999870,5999870,1.0,106201,7589,106.22107578332306,1,30291227.36590605,2458176,12.322643848896925,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,17,5351119200781496,5351119201781472,999976,63872705,20770613,48241,30805,296629,0.014281186597622323,48231,3086784,3.0751478061817434,0.6385647063701001,0.48228738707715607,63874237981.711555,,,,5980671,5980671,1.0,135498,8797,135.45519615801408,1,30064962.682632443,1971520,15.24963616023801,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,18,5351119201781472,5351119202781711,1000239,63755911,20863079,59247,38844,573447,0.02748621140724243,59281,3793984,3.0559205091444075,0.6556281330700289,0.6092611554087902,63740676978.20221,,,,6001983,6001983,1.0,123535,6885,123.57738704375602,1,30009987.599746015,2486016,12.071518284575005,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
pacca_ref_full_20260806__npb_bt__REF__rep01,1,npb_bt,pacca-a100,intermedio,compute_bound,REF,,,2261000,19,5351119202781711,5351119203782272,1000561,19520010,14460839,46949,29526,7768209,0.5371893705475872,48169,3082816,1.3498532139110324,0.6288951841359773,1.5126016841179897,19509065414.302574,,,,6032503,6032503,1.0,106201,7604,106.22691936832587,1,9188093.289842853,1889664,4.862289428090313,1.2298192786552977,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/roofline_calibration.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_ref_full_20260806/calibration_references.json,{'pacca-a100': 'sha256:9d07435d10dab4eec6c494df502c074dd9261088cc9c96f32ad1c17e86b6590c'},warmup_excluded
