window_k,all_cell_balanced_acc,all_recall_compute,all_recall_memory,all_pooled_f1_macro,mixed_cell_bal,pure_cell_bal
1,0.7079,0.5382,0.8331,0.6909,0.7759,0.6398
3,0.7029,0.5169,0.8789,0.7085,0.7737,0.632
5,0.695,0.5063,0.8976,0.7147,0.769,0.6211
10,0.6907,0.4982,0.9008,0.7127,0.7679,0.6136
20,0.6866,0.4869,0.9021,0.7076,0.7651,0.6081
50,0.6869,0.4814,0.9024,0.705,0.7652,0.6086
100,0.6864,0.4796,0.9011,0.7032,0.7641,0.6087
