k,mean,std,count,sd_between_families,ci95_half
3,0.6163350219917415,0.20320427329921703,72,0.12375593193780161,0.049512684695402306
6,0.6353237778635175,0.19529106106437003,72,0.13801291909938287,0.055216667518565486
9,0.6827365664229472,0.2062236041582896,72,0.1767648882844557,0.07072068418704147
12,0.6819538920081393,0.20549363728174605,72,0.15359447486412794,0.06145058815221551
15,0.6842854697350418,0.19275898965997723,72,0.17783591625060066,0.0711491846165348
18,0.7036433791912378,0.1964811292898472,72,0.1781569760990532,0.07127763530811679
21,0.7109632877640097,0.20418356725310283,72,0.1988154892119973,0.07954276191676381
23,0.71284749221088,0.194329360856183,72,0.19712561046728377,0.0788666696103157
