cap,n_train_rows_approx,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy,sd_cell_bal
100,4044,0.6924,0.6305,0.7578,0.6876,0.7161,0.7495,0.0068
300,11546,0.7101,0.662,0.7657,0.7055,0.7317,0.7765,0.007
1000,36374,0.7071,0.5877,0.8393,0.7177,0.7569,0.7798,0.0039
3000,104051,0.7025,0.586,0.8493,0.7228,0.763,0.7771,0.0047
10000,294985,0.7,0.5974,0.8481,0.7271,0.766,0.775,0.0086
30000,593643,0.703,0.6033,0.8131,0.709,0.7443,0.7791,0.0019
