familia,clase_memory,acierto,n_intervalos
cpu_cholmod,False,0.6503696473437811,55323.0
cpu_cholmod,True,0.8999630600679336,110991.0
cpu_hpcg,False,0.04,15.0
cpu_hpcg,True,0.9487992553521563,32230.0
cpu_lulesh,False,0.0,5.0
cpu_lulesh,True,0.8755536432389495,302135.0
dgemm,False,1.0,10938.0
dual_axpy,False,0.5198697068403909,5219.0
dual_axpy,True,0.9988880063542493,7554.0
dual_cholesky,False,0.9215334248600697,9469.0
dual_cholesky,True,0.9130863224280645,5074.0
dual_fft,False,0.9866298342541435,7240.0
dual_fft,True,0.9483447781080251,9757.0
dual_gemm,False,0.9996656077579,5981.0
dual_gemm,True,0.7777777777777778,9.0
dual_spmv,False,1.0,4040.0
dual_spmv,True,0.9825490196078432,3060.0
dual_stencil,False,0.9976955730745907,9894.0
dual_stencil,True,0.9475577763897565,8005.0
gap_pr,True,0.43937643360801976,23542.0
hpccg_cpu_N46,False,0.9594388046081898,8767.0
hpccg_cpu_N46,True,0.5081621906266456,1899.0
npb_bt,False,0.6180972849686389,68397.0
npb_bt,True,0.5894448865897334,40208.0
npb_cg,True,0.9562048894062866,25770.0
npb_ft,False,0.5752577319587628,582.0
npb_ft,True,0.5017818109558191,15097.0
npb_lu,False,0.22279890535057092,21194.0
npb_lu,True,0.8417650263301253,49563.0
npb_mg,True,0.5364454443194601,1778.0
npb_sp,False,0.9757225433526011,346.0
npb_sp,True,0.560863268188889,55927.0
phasic,False,0.06657242864835757,89136.0
phasic,True,1.0,42787.0
rajaperf_basic,False,0.20169491525423727,118.0
rajaperf_basic,True,0.8775621382362955,5874.0
rajaperf_lcals,False,0.7944954128440368,109.0
rajaperf_lcals,True,0.5123803546210576,12746.0
rajaperf_polybench,False,0.9947563579160267,53398.0
rajaperf_polybench,True,0.7302066772655008,11322.0
rajaperf_stream,False,0.6799999999999999,175.0
rajaperf_stream,True,0.7369715773727077,18049.0
rodinia_lavamd,False,0.7963342181772216,31644.0
rodinia_lavamd,True,0.09333333333333332,15.0
