cell,scope,set,arm,rep,wall_s,e_cpu_j,e_gpu_j,app_rc,rc_cpu_daemon,rc_gpu_daemon,state_ok
gpu_known_activo_1,gpu,known,activo,1,103.425,15235.65,19252.67,0,NA,0,1
joint_known_sombra_4,joint,known,sombra,4,143.352,31577.78,20987.93,0,0,0,1
cpu_unseen_activo_f0_3,cpu,unseen,activo_f0,3,185.066,40461.36,6544.94,0,0,NA,1
gpu_unseen_sombra_2,gpu,unseen,sombra,2,38.313,5548.78,4479.09,0,NA,0,1
cpu_known_sombra_3,cpu,known,sombra,3,39.898,9302.17,1410.82,0,0,NA,1
cpu_known_base_3,cpu,known,base,3,33.102,5564.38,1152.12,0,NA,NA,1
joint_known_activo_2,joint,known,activo,2,145.044,30695.91,20709.11,0,0,0,1
gpu_unseen_base_2,gpu,unseen,base,2,38.236,5469.48,4555.81,0,NA,NA,1
gpu_known_base_3,gpu,known,base,3,103.558,15170.86,19694.0,0,NA,NA,1
gpu_unseen_base_1,gpu,unseen,base,1,38.247,5453.72,4644.08,0,NA,NA,1
joint_unseen_activo_5,joint,unseen,activo,5,223.859,48249.18,11060.9,0,0,0,1
gpu_known_activo_2,gpu,known,activo,2,103.273,15260.35,19194.24,0,NA,0,1
joint_unseen_activo_nofloor_1,joint,unseen,activo_nofloor,1,224.398,48419.3,11096.94,0,0,0,1
joint_known_base_3,joint,known,base,3,135.916,20715.7,20689.93,0,NA,NA,1
joint_known_base_1,joint,known,base,1,136.316,20647.9,20848.89,0,NA,NA,1
joint_unseen_sombra_2,joint,unseen,sombra,2,223.001,50385.09,11042.18,0,0,0,1
joint_known_activo_5,joint,known,activo,5,145.494,30807.04,20882.28,0,0,0,1
joint_known_sombra_1,joint,known,sombra,1,143.435,31740.43,21027.4,0,0,0,1
gpu_unseen_base_3,gpu,unseen,base,3,38.224,5468.83,4592.8,0,NA,NA,1
joint_known_activo_3,joint,known,activo,3,145.39,30668.14,21101.55,0,0,0,1
cpu_known_activo_2,cpu,known,activo,2,41.296,9163.61,1492.39,0,0,NA,1
joint_unseen_activo_1,joint,unseen,activo,1,223.804,48460.04,10933.59,0,0,0,1
joint_unseen_sombra_5,joint,unseen,sombra,5,222.7,50893.61,10924.29,0,0,0,1
cpu_unseen_activo_1,cpu,unseen,activo,1,185.136,40747.77,6443.55,0,0,NA,1
joint_unseen_sombra_3,joint,unseen,sombra,3,223.682,51147.14,10933.58,0,0,0,1
cpu_known_base_2,cpu,known,base,2,33.296,5635.21,1168.85,0,NA,NA,1
