run_id,repetition,kernel_ref,node_id,phase_label_hint,phase_label_train,freq_level_id,freq_khz_requested,freq_khz_applied,freq_khz_observed,window_index,t_start_ns,t_end_ns,delta_t_ns,delta_instructions,delta_cycles,delta_cache_references,delta_cache_misses,delta_stalled_cycles_backend,stall_backend_ratio,delta_l2_lines_in_all,bytes_moved_l2_proxy,ipc,llc_miss_rate,mpki,ips,ipc_relative,mpki_relative,miss_rate_relative,delta_running_ns,delta_enabled_ns,running_ratio,pkg_delta_uj,dram_delta_uj,power_w,energy_valid,flops_window_estimate,bytes_moved_window,operational_intensity,i_ridge_used,roofline_calibration_ref,node_profile_ref,calibration_ref,binary_checksum,quality_status,gpu_power_mw,gpu_util_pct
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4615,5511642996388402,5511642997385567,997165,1109464,969173,15735,11,287057,0.29618757435463017,15713,1005632,1.1447533102965106,0.0006990784874483635,0.00991469754764463,1112618272.8033977,,,,345185,345185,1.0,,,,0,,704,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},intensity_undefined,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4616,5511642997385567,5511642998388638,1003071,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4617,5511642998388638,5511642999385416,996778,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4618,5511642999385416,5511643000388347,1002931,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4619,5511643000388347,5511643001385543,997196,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4620,5511643001385543,5511643002388355,1002812,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4621,5511643002388355,5511643003385677,997322,1109395,973036,15743,9,282967,0.29080835652534953,15718,1005952,1.1401376721930123,0.0005716826526075081,0.008112529802279621,1112373937.4043689,,,,343925,343925,1.0,,,,0,,576,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},intensity_undefined,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4622,5511643003385677,5511643004388450,1002773,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4623,5511643004388450,5511643005385415,996965,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
pacca_gpu_ref_20260807__rodinia_heartwall__REF__rep93,93,rodinia_heartwall,pacca-a100,compute_bound,,REF,,,2261000,4624,5511643005385415,5511643006388705,1003290,0,0,0,0,0,,0,0,,,,0.0,,,,0,0,0.0,,,,0,,0,nan,1.2362137734822234,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/roofline_calibration_REF.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/node_profile.json,/home/latorresn/hyperion-results/campaigns/pacca_gpu_ref_20260807/calibration_references.json,{'pacca-a100': 'sha256:72e9b633d928bc0219c9f2e373552475e54c8dbb2d5b6ff73c9e6284a80eb795'},pmu_degraded,,
