cls,level,n_kernels,gain_agg,gain_ci95_lo,gain_ci95_hi,median_ratio,frac_better,energy_ratio,time_ratio,test,p,significant
compute_bound,F0,19,0.0056367318773680175,0.0026737860318556683,0.013778932558890237,0.9967964641743013,0.7368421052631579,0.9976932777905714,0.9977134146341464,wilcoxon,0.00823211669921875,True
compute_bound,F1,19,-0.11593309958346887,-0.1423248118324646,-0.11003593166089806,1.1152424458137196,0.0,1.0363804845062834,1.0842412968376296,wilcoxon,3.814697265625e-06,True
compute_bound,F2,19,-0.30676757888549977,-0.34723173367060967,-0.2919405198353213,1.270244728697791,0.0,1.0888008222562786,1.1729270857377345,wilcoxon,3.814697265625e-06,True
compute_bound,F3,19,-0.5802209334398738,-0.6663643006763205,-0.5460166087236227,1.5221552135013299,0.0,1.1951146756373565,1.3125718819931707,wilcoxon,3.814697265625e-06,True
compute_bound,F4,19,-0.9744868733373506,-1.1121620136488104,-0.9182264951354028,1.9044426012801674,0.0,1.3341728357445368,1.4857068135956897,wilcoxon,3.814697265625e-06,True
compute_bound,F5,19,-1.5992573861961916,-1.8191385862157932,-1.5073460333777824,2.4863185015848814,0.0,1.4884415774311983,1.7200502839617342,wilcoxon,3.814697265625e-06,True
compute_bound,F6,19,-2.68281599499155,-3.057956976103227,-2.5263839477248067,3.4006938184787643,0.0,1.743953593666559,2.057047927272511,wilcoxon,3.814697265625e-06,True
compute_bound,F7,19,-4.759973328508846,-5.410341308511973,-4.486153007783898,4.984241107889015,0.0,2.1123293377187244,2.590604744880219,wilcoxon,3.814697265625e-06,True
compute_bound,F8,19,-9.665766229870185,-10.987416174440758,-9.112466906880478,8.965239967469135,0.0,2.7936641635227484,3.544930146304931,wilcoxon,3.814697265625e-06,True
memory_bound,F0,28,0.0021407120694347803,-0.004117368052753617,0.0038613823700978326,1.0009090798606528,0.4642857142857143,1.0000967773316505,0.9996111098718449,wilcoxon,0.9374814853072166,False
memory_bound,F1,28,-0.05383210660381055,-0.06837921794616514,-0.03427511277387242,1.010426956688995,0.39285714285714285,0.9892758524036329,1.023149697978825,wilcoxon,0.1199713721871376,False
memory_bound,F2,28,-0.13402041018564015,-0.18521981175538285,-0.11187329704969844,1.0185603595912749,0.32142857142857145,0.9831069694778829,1.037036274883225,wilcoxon,0.07353667169809341,False
memory_bound,F3,28,-0.2621121089581844,-0.34018258780309063,-0.2048531867277714,1.0438476246346278,0.25,0.9846022956001359,1.062544197056542,wilcoxon,0.017886914312839508,True
memory_bound,F4,28,-0.4403516204887594,-0.5483316675531461,-0.20893876822000537,1.1046980954867514,0.21428571428571427,1.0063826202316455,1.1018472827317338,wilcoxon,0.008859716355800629,True
memory_bound,F5,28,-0.7283661538969368,-0.9186197106049122,-0.43685791747744274,1.2025819101663942,0.10714285714285714,1.045079068246396,1.155395383455285,wilcoxon,5.21540641784668e-07,True
memory_bound,F6,28,-1.2462490682371823,-1.530261151493225,-0.8234487664746095,1.4962423311770785,0.0,1.1458056610260547,1.291642412486611,wilcoxon,7.450580596923828e-09,True
memory_bound,F7,28,-2.1921854340338465,-2.7351583927001006,-1.556567055107223,1.875006189676327,0.0,1.2715143624320595,1.4741248059215049,wilcoxon,7.450580596923828e-09,True
memory_bound,F8,28,-4.459127849731257,-5.619001831774346,-3.3731809358183096,2.9268206827337857,0.0,1.5868744279000255,1.8269810574043088,wilcoxon,7.450580596923828e-09,True
