config_id,operation,size,family,resource_state,k,log10_k,ready_device,y_log_edp_ratio_k,device_label,cpu_ref_edp_js,gpu_ref_edp_js,oracle_ref_edp_js,cpu_total_energy_j,cpu_total_time_s,gpu_total_energy_j,gpu_total_time_s,device_margin_pct,log10_n,flops_per_dispatch_analytic,log10_flops_per_dispatch,logical_bytes_per_dispatch,log10_logical_bytes,arithmetic_intensity_analytic,cost_cpu_e_cold,cost_cpu_t_cold,cost_cpu_e_warm,cost_cpu_t_warm,cost_gpu_e_cold,cost_gpu_t_cold,cost_gpu_e_warm,cost_gpu_t_warm,above_noise_floor,probe_time_per_dispatch_s,probe_energy_per_dispatch_j,probe_avg_power_w,probe_region_to_sampling_ratio,probe_ipc,probe_mpki,probe_llc_miss_rate,probe_stall_backend_ratio,probe_ips,probe_freq_khz_observed,probe_running_ratio,probe_gpu_power_mw,probe_gpu_util_pct,probe_gpu_mem_util_pct,probe_gpu_sm_clock_mhz,probe_gpu_temperature_c,probe_device,probe_device_missing,probe_time_per_dispatch_s_missing,probe_energy_per_dispatch_j_missing,probe_avg_power_w_missing,probe_region_to_sampling_ratio_missing,probe_ipc_missing,probe_mpki_missing,probe_llc_miss_rate_missing,probe_stall_backend_ratio_missing,probe_ips_missing,probe_freq_khz_observed_missing,probe_running_ratio_missing,probe_gpu_power_mw_missing,probe_gpu_util_pct_missing,probe_gpu_mem_util_pct_missing,probe_gpu_sm_clock_mhz_missing,probe_gpu_temperature_c_missing
axpy_N10000,axpy,10000,vector,cpu_ready,1,0.0,cpu,23.31256113350277,cpu,4.208888872382811e-09,56.06400495058432,4.208888872382811e-09,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,1332038137529.5254,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,2,0.3010299956639812,cpu,21.926598112529668,cpu,1.6835555489531243e-08,56.082584284083815,1.6835555489531243e-08,0.001442376181009,1.1672097550691731e-05,88.30519758543818,0.635099471124812,333119892017.3544,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,3,0.47712125471966244,cpu,21.115999181334136,cpu,3.7879999851445296e-08,56.101166682049886,3.7879999851445296e-08,0.0021635642715135002,1.7508146326037596e-05,88.32079720818922,0.6351976935829573,148102341246.52292,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,5,0.6989700043360189,cpu,20.09501033853945,cpu,1.0522222180957028e-07,56.138340671381805,1.0522222180957028e-07,0.0036059404525225,2.918024387672933e-05,88.3519964536913,0.6353941384992481,53352171813.81893,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,10,1.0,cpu,18.71037102584619,cpu,4.208888872382811e-07,56.23132927287683,4.208888872382811e-07,0.007211880905045,5.836048775345866e-05,88.42999456744649,0.6358852507899749,13360136263.26828,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,30,1.4771212547196624,cpu,16.519752920368937,cpu,3.7879999851445295e-06,56.60404979550331,3.7879999851445295e-06,0.021635642715135,0.00017508146326037597,88.74198702246726,0.6378496999528822,1494299002.890403,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,100,2.0,cpu,14.134758874524218,cpu,4.208888872382811e-05,57.91822469444026,4.208888872382811e-05,0.07211880905045001,0.0005836048775345866,89.83396061503993,0.6447252720230576,137609198.91610697,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,cpu_ready,1000,3.0,cpu,9.803293171409551,cpu,0.004208888872382811,76.1523987739125,0.004208888872382811,0.7211880905045001,0.0058360487753458656,103.8736210909744,0.7331254843538847,1809223.103624728,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,7.813e-06,0.0004342325966888,55.57821537038269,0.007813,,,,,,,,,,,,,cpu,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
axpy_N10000,axpy,10000,vector,gpu_ready,1,0.0,gpu,5.495193787132876,cpu,6.292055660784509e-09,1.532233292747318e-06,6.292055660784509e-09,0.0008246468755943,7.63e-06,0.0155996227510383,9.82224581453634e-05,24251.8712381555,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,0.528868257,77.88544941967952,147.26814927688037,105.7736514,,,,,,,,63714.37452570537,0.0,0.0,1410.0,26.0,gpu,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
axpy_N10000,axpy,10000,vector,gpu_ready,2,0.3010299956639812,gpu,5.685040171959428,cpu,2.0816289052121566e-08,6.128933170989272e-06,2.0816289052121566e-08,0.0015458349660988002,1.3466048775345866e-05,0.0311992455020766,0.0001964449162907268,29342.967263008006,4.0,20000.0,4.301029995663981,240000.0,5.380211241711606,0.08333333333333333,0.0008246468755943,7.63e-06,0.0007211880905045,5.836048775345866e-06,88.28959796268714,0.6350012486666666,0.0155996227510383,9.82224581453634e-05,1,0.528868257,77.88544941967952,147.26814927688037,105.7736514,,,,,,,,63714.37452570537,0.0,0.0,1410.0,26.0,gpu,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
