fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_model,selected_model_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_model_edp_sum_js,model_improvement_pct,model_beats_baseline_above_noise_floor,adopted_policy
interpolation_fold1,interpolation,gpu_ready,100,operation_crossover_table_train,1.0000600031084037,model_regression:random_forest+probe,1.074767072934298,20,4096.914988709916,4097.160816344103,4403.229330476408,-7.470258743844216,False,baseline
interpolation_fold1,interpolation,gpu_ready,1000,operation_crossover_table_train,1.0001399557249555,model_regression:random_forest+probe,1.074914626783583,20,409018.5217798264,409075.7662635624,439659.9916865349,-7.476420737978295,False,baseline
interpolation_fold1,interpolation,none_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,20,10.262041577135918,10.262041577135918,10.262041577135918,0.0,False,baseline
interpolation_fold1,interpolation,none_ready,2,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,20,36.39565571757142,36.39565571757142,36.39565571757142,0.0,False,baseline
interpolation_fold1,interpolation,none_ready,3,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,20,79.01752430745908,79.01752430745908,79.01752430745908,0.0,False,baseline
interpolation_fold1,interpolation,none_ready,5,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.1543055929175463,20,185.15549621083542,185.15549621083545,213.7260248355909,-15.43055929175463,False,baseline
interpolation_fold1,interpolation,none_ready,10,k_break_even_table_train,1.0,model_regression:random_forest+probe,2.331375570468698,20,359.89127605581507,359.891276055815,839.0417290213335,-133.1375570468698,False,baseline
interpolation_fold1,interpolation,none_ready,30,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.080366997097827,20,1025.1212133088172,1025.1212133088177,1107.5071268837278,-8.036699709782692,False,baseline
interpolation_fold1,interpolation,none_ready,100,k_break_even_table_train,1.005948577510721,model_regression:random_forest+probe,1.035675967992378,20,6027.2586393500815,6063.112254543418,6242.286925649319,-2.9551600495543173,False,baseline
interpolation_fold1,interpolation,none_ready,1000,k_break_even_table_train,1.0006265312983158,model_regression:random_forest+probe,1.0690975047053817,20,426667.62777326483,426934.9483960429,456149.296190962,-6.842810106006736,False,baseline
interpolation_fold2,interpolation,cpu_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,16,0.3119994340531757,0.3119994340531757,0.3119994340531757,0.0,False,baseline
interpolation_fold2,interpolation,cpu_ready,2,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,16,1.2479977362127028,1.2479977362127028,1.2479977362127028,0.0,False,baseline
interpolation_fold2,interpolation,cpu_ready,3,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,16,2.8079949064785814,2.8079949064785814,2.8079949064785814,0.0,False,baseline
interpolation_fold2,interpolation,cpu_ready,5,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,16,7.799985851329392,7.799985851329392,7.799985851329392,0.0,False,baseline
interpolation_fold2,interpolation,cpu_ready,10,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,16,31.19994340531757,31.19994340531757,31.19994340531757,0.0,False,baseline
interpolation_fold2,interpolation,cpu_ready,30,k_break_even_table_train,1.0606178943040148,model_regression:random_forest+probe,1.15192716114749,16,280.7994906478582,297.82096449257125,323.46056011364846,-8.609063389732174,False,baseline
interpolation_fold2,interpolation,cpu_ready,100,k_break_even_table_train,1.0,model_regression:random_forest+probe,2.0061927676811933,16,1442.2400520358965,1442.2400520358965,2893.4115616545632,-100.61927676811932,False,baseline
interpolation_fold2,interpolation,cpu_ready,1000,k_break_even_table_train,1.0030258627422175,model_regression:random_forest+probe,2.8909082011510567,16,95016.7453086404,95304.2529381566,274684.6882594297,-188.21870985933234,False,baseline
interpolation_fold2,interpolation,gpu_ready,1,size_threshold_train,1.210886751181991,model_regression:random_forest+probe,1.0,16,0.2781580109889865,0.3368178502416984,0.2781580109889865,17.415893846070794,True,model
interpolation_fold2,interpolation,gpu_ready,2,size_threshold_train,1.0824821515173793,model_regression:random_forest+probe,1.0,16,0.6697243882820765,0.7249646967512429,0.6697243882820765,7.6197239281737055,True,model
interpolation_fold2,interpolation,gpu_ready,3,size_threshold_train,1.0380265520288745,model_regression:random_forest+probe,1.0,16,1.2513792311288112,1.298964868569184,1.2513792311288112,3.663350610304694,True,model
interpolation_fold2,interpolation,gpu_ready,5,size_threshold_train,1.0065565072666736,model_regression:random_forest+probe,1.0,16,2.984954313483214,3.0045251881302555,2.984954313483214,0.6513799492964267,False,baseline
