fold,regime,resource_state,k,method,name,with_probe,abstention_rate,tuned,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,cpu_ready,1,baseline,best_constant_device_train,,,,20,0.0,0.0,,0.0,,0,20,0,0,460657219.88963574,1730778.8780400413,932605149.2726195,6863012652.537528,0.0,1145.4437423361273,883.1302736078676
interpolation_fold0,interpolation,cpu_ready,2,baseline,best_constant_device_train,,,,20,0.0,0.0,,0.0,,0,20,0,0,115226893.21090035,433911.27069061063,233227251.5525388,1716403787.3527417,0.0,1158.310408579861,223.26259907922102
interpolation_fold0,interpolation,cpu_ready,3,baseline,best_constant_device_train,,,,20,0.0,0.0,,0.0,,0,20,0,0,51239785.14009842,193390.9886203296,103690323.69790411,763135348.738813,0.0,1171.3882591191891,100.34814898383968
interpolation_fold0,interpolation,cpu_ready,5,baseline,best_constant_device_train,,,,20,0.0,0.0,,0.0,,0,20,0,0,18466378.979416452,70011.57430073532,37352835.11293751,274937023.76883054,0.0,1198.1775130846295,36.951507816634894
interpolation_fold0,interpolation,cpu_ready,10,baseline,best_constant_device_train,,,,20,0.0,0.0,,0.0,,0,20,0,0,4629154.531548044,17748.486840740738,9353416.665144932,68864528.49535367,0.0,1268.8463731711408,9.7827296382065
interpolation_fold0,interpolation,cpu_ready,30,baseline,best_constant_device_train,,,,20,0.15,0.5,,0.15,1.0,3,17,0,0,519971.7314789515,2083.320572030604,1046041.5051557635,7709649.957802469,15.0,1604.317887415891,3.6738892847665388
interpolation_fold0,interpolation,cpu_ready,100,baseline,best_constant_device_train,,,,20,0.15,0.5,,0.15,1.0,3,17,0,0,48612.48235087073,224.9449731551591,96293.01834346703,712304.8305204596,15.0,3443.6987183962165,2.048052789603201
interpolation_fold0,interpolation,cpu_ready,1000,baseline,best_constant_device_train,,,,20,0.25,0.5,,0.25,1.0,5,15,0,0,780.9924514877973,20.752865568046847,2749.365930532975,9708.351430982133,25.0,119274.82585814148,1.3738767453918774
interpolation_fold0,interpolation,cpu_ready,1,baseline,size_threshold_train,,,,20,0.2,0.2,,0.0,,0,16,0,4,417636941.7869881,38179.31277784677,932605149.2726195,6863012652.537528,20.0,938.2148880798699,723.3580665630018
interpolation_fold0,interpolation,cpu_ready,2,baseline,size_threshold_train,,,,20,0.2,0.2,,0.0,,0,16,0,4,104451597.80270343,9657.112695826181,233227251.5525388,1716403787.3527417,20.0,948.2555613089223,182.77484139050543
interpolation_fold0,interpolation,cpu_ready,3,baseline,size_threshold_train,,,,20,0.2,0.2,,0.0,,0,16,0,4,46441764.406471714,4342.399310443412,103690323.69790411,763135348.738813,20.0,958.4670029855724,82.10803622362766
interpolation_fold0,interpolation,cpu_ready,5,baseline,size_threshold_train,,,,20,0.2,0.2,,0.0,,0,16,0,4,16732598.944957111,1599.9957932418688,37352835.11293751,274937023.76883054,20.0,979.4021916816658,30.204529250749033
interpolation_fold0,interpolation,cpu_ready,10,baseline,size_threshold_train,,,,20,0.2,0.2,,0.0,,0,16,0,4,4191633.9145124233,423.65735015177074,9353416.665144932,68864528.49535367,20.0,1034.7286112548593,7.977695698120465
interpolation_fold0,interpolation,cpu_ready,30,baseline,size_threshold_train,,,,20,0.35,0.6176470588235294,0.21004201260420147,0.1875,1.0,3,13,0,4,469518.7703678104,58.70038562078143,1046041.5051557635,7709649.957802469,35.0,1298.726401447054,2.974084529971237
interpolation_fold0,interpolation,cpu_ready,100,baseline,size_threshold_train,,,,20,0.35,0.6176470588235294,0.21004201260420147,0.1875,1.0,3,13,0,4,43460.30118763475,10.20722556793051,96293.01834346703,712304.8305204596,35.0,2760.639277052449,1.6418204479538663
interpolation_fold0,interpolation,cpu_ready,1000,baseline,size_threshold_train,,,,20,0.45,0.6333333333333333,0.28867513459481287,0.3125,1.0,5,11,0,4,606.5817486020273,2.4833672914030838,1282.7402274071142,9708.351430982133,45.0,96097.08933979784,1.1069021094259859
interpolation_fold0,interpolation,cpu_ready,1,baseline,intensity_threshold_train,,,,20,0.55,0.55,,0.0,,0,9,0,11,32189583.812100627,1.0,51482637.95107927,620478438.5744617,55.00000000000001,538.0553430302186,414.8374509754088
interpolation_fold0,interpolation,cpu_ready,2,baseline,intensity_threshold_train,,,,20,0.55,0.55,,0.0,,0,9,0,11,8050109.451420489,1.0,12880192.441509675,155165328.61568487,55.00000000000001,546.2467004211377,105.2882346313332
interpolation_fold0,interpolation,cpu_ready,3,baseline,intensity_threshold_train,,,,20,0.55,0.55,,0.0,,0,9,0,11,3579032.8409995846,1.0,5728769.258132876,68982690.80101363,55.00000000000001,554.5958142717446,47.510006151335546
interpolation_fold0,interpolation,cpu_ready,5,baseline,intensity_threshold_train,,,,20,0.55,0.55,,0.0,,0,9,0,11,1289320.8961929523,1.0,2065411.8265641409,24848404.131048214,55.00000000000001,571.7673113520225,17.633167075827345
interpolation_fold0,interpolation,cpu_ready,10,baseline,intensity_threshold_train,,,,20,0.55,0.55,,0.0,,0,9,0,11,322874.05464719766,1.0,518266.07004833483,6221252.884607582,55.00000000000001,617.4567920972563,4.760554932481974
interpolation_fold0,interpolation,cpu_ready,30,baseline,intensity_threshold_train,,,,20,0.7,0.8235294117647058,0.464420364012824,0.3333333333333333,1.0,3,6,0,11,36117.7275628003,1.0,58441.431019104275,695325.2708059317,70.0,839.6538300001785,1.9228079629029045
interpolation_fold0,interpolation,cpu_ready,100,baseline,intensity_threshold_train,,,,20,0.7,0.8235294117647058,0.464420364012824,0.3333333333333333,1.0,3,6,0,11,3328.368976815371,1.0,5536.31590334057,63871.34401836167,70.0,2114.27631067745,1.257412407462733
interpolation_fold0,interpolation,cpu_ready,1000,baseline,intensity_threshold_train,,,,20,0.8,0.8666666666666667,0.6382847385042254,0.5555555555555556,1.0,5,4,0,11,45.123464745059415,1.0,100.4148284221402,816.5602434014789,80.0,87362.97428746124,1.0062974975504337
interpolation_fold0,interpolation,cpu_ready,1,baseline,operation_crossover_table_train,,,,20,0.7,0.7,,0.0,,0,6,0,14,4276.531243120465,1.0,17217.154409599127,56437.567934518505,70.0,322.0144179011063,248.271189998986
interpolation_fold0,interpolation,cpu_ready,2,baseline,operation_crossover_table_train,,,,20,0.7,0.7,,0.0,,0,6,0,14,1076.9364018138845,1.0,4334.801836912373,14202.54044834899,70.0,329.955122770381,63.598356488514376
interpolation_fold0,interpolation,cpu_ready,3,baseline,operation_crossover_table_train,,,,20,0.7,0.7,,0.0,,0,6,0,14,482.2748823250765,1.0,1940.1876985594824,6353.77444478088,70.0,338.0534838629642,28.959690434915903
interpolation_fold0,interpolation,cpu_ready,5,baseline,operation_crossover_table_train,,,,20,0.7,0.7,,0.0,,0,6,0,14,176.41890067484923,1.0,708.3176067925402,2317.409178982215,70.0,354.7231747180557,10.939577833998266
interpolation_fold0,interpolation,cpu_ready,10,baseline,operation_crossover_table_train,,,,20,0.7,0.7,,0.0,,0,6,0,14,46.11963423598983,1.0,183.31074900129923,598.3462929157794,70.0,399.156385763682,3.0774718577873714
interpolation_fold0,interpolation,cpu_ready,30,baseline,operation_crossover_table_train,,,,20,0.85,0.9117647058823529,0.641688947919748,0.5,1.0,3,3,0,14,6.523431563153241,1.0,23.2565157280747,75.26201805366195,85.0,616.3032857732911,1.4113350324953042
interpolation_fold0,interpolation,cpu_ready,100,baseline,operation_crossover_table_train,,,,20,0.85,0.9117647058823529,0.641688947919748,0.5,1.0,3,3,0,14,1.5984636339454918,1.0,3.138148075503032,9.921517547351495,85.0,1872.934539228436,1.1138804876628134
interpolation_fold0,interpolation,cpu_ready,1000,baseline,operation_crossover_table_train,,,,20,0.95,0.9666666666666667,0.8819171036881969,0.8333333333333334,1.0,5,1,0,14,1.0017006949213574,1.0,1.0017006949213574,1.034013898427149,95.0,86846.56355777559,1.0003491787205256
interpolation_fold0,interpolation,cpu_ready,1,baseline,oracle,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,1.2970269240761343,1.0
interpolation_fold0,interpolation,cpu_ready,2,baseline,oracle,,,,20,1.0,1.0,,,,0,0,0,20,1.0,1.0,1.0,1.0,100.0,5.188107696304537,1.0
