regime,family,edp_sum_ratio_static,edp_sum_ratio_probe,probe_improves_pct,probe_beats_static_above_noise_floor
extrapolation,elasticnet,5.069496471822928,3.7670440189619026,25.69194909396356,True
extrapolation,huber,3.540908497441999,3.432939843963856,3.0491794282778373,False
extrapolation,random_forest,2.268276131235264,2.1106575960510385,6.94882483722955,True
extrapolation,ridge,4.254983093033462,4.58224271661932,-7.691208553135476,False
extrapolation,tree,5.826098844183655,5.826098844183655,0.0,False
interpolation,elasticnet,3.656215124220909,3.647036231676906,0.25104902835713094,False
interpolation,huber,3.386897394087958,2.7207966732649833,19.666988494711866,True
interpolation,random_forest,1.1021875206398015,1.5064068313152146,-36.67427757127666,False
interpolation,ridge,3.8118731154298637,3.032826540797301,20.437369005781026,True
interpolation,tree,2.8231945472132636,2.7611860565415345,2.1963945323193124,False
