kernel_ref,freq_level_id,cv3_fixed,cv3_median,cv3_p95,cv3_max,cv6_fixed,cv10_all
rodinia_lavamd_omp,F1,1.2593554658488377,1.1011832464100118,10.055047006912398,10.166705399927247,8.078231932847125,6.6281577738721325
npb_ft,REF,2.014631465570448,1.6291194972993708,9.830934410730178,10.096908358559046,1.5653934497666115,6.460953761183477
rodinia_lavamd_omp,REF,0.35650743500290316,0.4946861933389216,9.713211314943145,9.819957246648748,0.33891034714997265,6.394118707608428
npb_ft,F1,3.855214518771039,3.4084104367108536,9.695267583164094,10.079364824907794,3.6387585007567864,6.493569474400594
npb_ft,F0,6.015869678314574,1.6542614524412222,7.2346938380913235,7.633775255414118,5.1344221798892375,4.625257370695197
npb_ft,F4,0.9878607649095807,0.9971523973651164,7.219925618878328,7.56150807289752,1.1353457207731,4.63092579337134
npb_sp,REF,1.539268618405302,1.0574363775476758,6.644813939431119,7.08020119893755,5.03931923188961,4.240646581181036
npb_ft,F2,5.0189207562853975,3.8904708309518137,5.551355722968484,5.826228689325996,5.134371730044353,4.46002665351255
npb_ft,F3,3.524632060914662,2.3638815996463745,4.186631169088817,4.806211791846582,2.6843898703817537,3.091190319616272
npb_mg,F3,0.7762462960476084,0.6077367544171082,2.801287822270132,2.92316997239695,0.681841519466505,1.7622695670538053
npb_mg,F4,0.4704743490262265,0.7422410285648467,2.348682878991606,2.525344471791381,0.7140426490709822,1.503160141271081
rajaperf_polybench_3mm_omp,F0,0.9382894438875627,1.031797801126542,2.2718232376974674,2.4107776052788115,1.4841051261999143,1.5007949836781858
rajaperf_polybench_3mm_omp,REF,2.093782159556443,0.8648114687656725,2.020991345564962,2.1871225212560876,1.5207385077508258,1.3587875770220252
rodinia_lavamd_omp,F4,1.3083033010349865,1.6349913113531938,1.9900593811079517,2.0919528454849994,1.4984384020395785,1.7707812500746003
npb_lu,F4,1.7951680333577031,1.1652177512079112,1.8288484482221166,2.005688721654171,1.646304811993032,1.4193227724680777
rodinia_lavamd_omp,F3,0.1562198786065836,0.9079707437233804,1.7662131975573556,1.893907800714928,1.0346995413968245,1.2055070409618438
npb_sp,F2,1.2664287900789803,1.1114714481892691,1.6976347338320485,1.8966098810289242,1.5659154963701616,1.3381030159790075
rajaperf_polybench_3mm_omp,F3,1.2930366433951055,1.133751833523367,1.4931011819700026,1.5645531367154315,1.3826519657317553,1.2790936002066826
npb_mg,F1,0.624904347987737,0.6676714056619424,1.4331382098163297,1.5946392539724976,0.8345084636706616,0.9757688741773147
npb_lu,REF,1.4237929131276548,0.8089051833297443,1.4237929131276548,1.526432986269272,1.2494151123341224,1.0305741159948252
dgemm_n2048,F3,0.44083234791726084,0.844818894281576,1.4228875100320049,1.5694106282249456,0.601796190084422,1.082161275783559
npb_cg,F4,0.8039915286171708,0.8781084943573803,1.4169862430377915,1.5087751575568984,1.0888918885856367,1.1239620391707712
npb_lu,F3,0.2570068430493899,0.8745912981871669,1.4001997637668098,1.4817495551650188,1.0550447512476209,1.055679860014539
npb_cg,REF,0.7244507749612131,0.6743558714667144,1.381995721935749,1.4462870717722873,1.020032490873941,0.8766458371015396
npb_mg,REF,0.7284552479838815,0.9566883123835537,1.250317172068127,1.3178453644212358,0.9851267697196593,1.0465116276526079
npb_sp,F1,0.5702128203476728,0.6814478460667635,1.2426508412173698,1.3232360521052,0.7351176671912327,0.8818985742207226
dgemm_n2048,F0,0.7070067275215727,0.547605974429239,1.2246020039504326,1.3258227563135607,0.9755799811239859,0.7872606558509321
npb_mg,F2,0.35791032464082867,0.8086035387955596,1.215356942130849,1.339569830516413,0.6344204441523477,0.9595060857513207
dgemm_n2048,F2,0.7721516831974007,0.8213079217355956,1.204770125989762,1.2647877153365443,0.9681609641038496,0.9186552570388615
npb_lu,F2,0.7165824502047332,0.7921483299456968,1.1782204800597278,1.304567458123,0.6677775937719747,0.9427165211941633
rajaperf_polybench_3mm_omp,F1,0.20176031008827464,0.4927933783255529,1.1747082526987602,1.3134971534361417,0.859439486155985,0.7615474745159289
npb_bt,F2,0.952961151638803,0.9177405259507845,1.1571209397059703,1.2111770222055982,0.7791095920764565,0.9791280701930317
npb_cg,F1,0.9718109193818054,0.8873355254292052,1.1198208453396548,1.1994868737504538,0.917567152233419,0.9920380498316875
rodinia_lavamd_omp,F0,0.547438693607542,0.5311271366294377,1.081133069501775,1.208771914800706,0.5361838534777261,0.7348216484508859
npb_cg,F0,0.742054820124099,0.6700266321810648,1.0697675967327849,1.1685685700985207,0.7038137127325841,0.8338493341868292
npb_lu,F0,0.289639676307955,0.6346761068441795,1.0225526841597574,1.1473488999011778,0.859579960140805,0.8022653095474221
npb_bt,F0,0.19652577220217843,0.5846664114093492,1.0162466860068284,1.1195164997127693,0.3998260346057937,0.7783634970201205
npb_sp,F4,0.7079619267868301,0.7112067413114767,1.0111624480944885,1.0810403951076912,0.7867593570379812,0.8328902898947242
npb_mg,F0,0.8260520778025254,0.6519965325620984,0.9885373791997702,1.0750574577452006,0.6597256190704194,0.7737907251265566
