ipc_cv_pct,ipc_mean,kernel_ref,n_windows_ok,n_windows_total,quality_json,repetition,run_dir
8.321311297542126,1.8206829504407955,npb_lu,1626,1727,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 1626}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_lu__REF__rep01
8.210934207341715,1.8233863001630575,npb_lu,1624,1725,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 1624}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_lu__REF__rep02
8.612792788587562,1.8149781872753874,npb_lu,1631,1732,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 100, ""ok"": 1631}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_lu__REF__rep03
11.930489849938892,1.7061100317460909,npb_mg,63,94,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 30, ""ok"": 63}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_mg__REF__rep01
11.985675450036275,1.6852036357635003,npb_mg,64,95,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 30, ""ok"": 64}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_mg__REF__rep02
11.482899873980127,1.718643220395245,npb_mg,62,93,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 30, ""ok"": 62}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_mg__REF__rep03
19.520726365028768,1.7586061041222418,npb_sp,1678,1729,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 50, ""ok"": 1678}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_sp__REF__rep01
19.289745767000056,1.6558955873418946,npb_sp,1794,1845,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 50, ""ok"": 1794}",2,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_sp__REF__rep02
19.457585997253886,1.7530437736223254,npb_sp,1683,1734,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 50, ""ok"": 1683}",3,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_10000000/sweep_interval_10000000__npb_sp__REF__rep03
21.418889427801023,2.873841680382803,npb_bt,12395,12436,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 40, ""ok"": 12395}",1,/home/latorresn/hyperion-results/sweeps/interval_ns/interval_2000000/sweep_interval_2000000__npb_bt__REF__rep01
