knn_k25,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy
pmu_only,0.6843,0.7683,0.7458,0.757,0.7571,0.7766
with_freq,0.6991,0.8379,0.7071,0.7718,0.7729,0.7901
