familia,clase_memory,acierto,n_intervalos
cpu_cholmod,False,0.5899282396110117,55323.0
cpu_cholmod,True,0.9273634799217954,110991.0
cpu_hpcg,False,0.026666666666666665,15.0
cpu_hpcg,True,0.929146757679181,32230.0
cpu_lulesh,False,0.5599999999999999,5.0
cpu_lulesh,True,0.8105654756979496,302135.0
dgemm,False,1.0,10938.0
dual_axpy,False,0.23954780609312126,5219.0
dual_axpy,True,0.9995234312946784,7554.0
dual_cholesky,False,0.9591565629942014,9485.0
dual_cholesky,True,0.7819077650768624,5074.0
dual_fft,False,0.9949259462424574,7292.0
dual_fft,True,0.9288305831710566,9757.0
dual_gemm,False,0.9996656077579,5981.0
dual_gemm,True,0.7777777777777778,9.0
dual_spmv,False,0.9798286413708691,4085.0
dual_spmv,True,0.9754901960784315,3060.0
dual_stencil,False,0.9840442655935615,9940.0
dual_stencil,True,0.9909056839475328,8005.0
gap_pr,True,0.4896270495285022,23542.0
hpccg_cpu_N46,False,0.9198129348693966,8767.0
hpccg_cpu_N46,True,0.24928909952606632,1899.0
npb_bt,False,0.336786701171104,68397.0
npb_bt,True,0.8428173497811381,40208.0
npb_cg,True,0.9698874660457897,25770.0
npb_ft,False,0.8268041237113402,582.0
npb_ft,True,0.2936609922501159,15097.0
npb_lu,False,0.4837878644899501,21194.0
npb_lu,True,0.7462300506426166,49563.0
npb_mg,True,0.4701912260967379,1778.0
npb_sp,False,0.8745664739884393,346.0
npb_sp,True,0.5771309027839864,55927.0
phasic,False,0.47612064905595747,93428.0
phasic,True,1.0,42787.0
rajaperf_apps_edge3d,False,0.5694595419847328,32750.0
rajaperf_apps_edge3d,True,0.5454545454545454,11.0
rajaperf_apps_fir,False,0.9999558059882887,18102.0
rajaperf_apps_fir,True,0.8,22.0
rajaperf_apps_mass3dpa,False,0.9989861663824143,21108.0
rajaperf_apps_mass3dpa,True,1.0,6.0
rajaperf_basic,False,0.25084745762711863,118.0
rajaperf_basic,True,0.8302689819543753,5874.0
rajaperf_basic_mat_mat_shared,False,0.9999517898035434,24891.0
rajaperf_basic_mat_mat_shared,True,0.2,25.0
rajaperf_basic_pi_reduce,False,0.9998556552221878,19398.0
rajaperf_basic_pi_reduce,True,0.5555555555555556,9.0
rajaperf_basic_trap_int,False,0.9999830429437451,23589.0
rajaperf_basic_trap_int,True,0.4545454545454545,11.0
rajaperf_lcals,False,0.7706422018348624,109.0
rajaperf_lcals,True,0.5266122705162404,12746.0
rajaperf_polybench,False,0.972837934005019,53398.0
rajaperf_polybench,True,0.7899841017488076,11322.0
rajaperf_stream,False,0.7108571428571429,175.0
rajaperf_stream,True,0.7277965538256967,18049.0
rodinia_lavamd,False,0.9589306029579067,31644.0
rodinia_lavamd,True,0.10666666666666666,15.0
