k,mean,std,count,sd_between_families,ci95_half
3,0.6149967088811896,0.2131856985584565,90,0.1485864046501678,0.053170962036118444
6,0.6444410693918693,0.22031132936455575,90,0.16368852739293813,0.05857518725383748
9,0.681009063512994,0.19344018934548596,90,0.15254874208415964,0.05458886627690749
12,0.675993691352385,0.2053492904413524,90,0.14883063456285794,0.05325835858795175
15,0.7012813614490452,0.2048368626592019,90,0.14874425198123004,0.0532274469781101
18,0.7284519749723899,0.1845708801624952,90,0.16500571634926878,0.05904653726837175
21,0.7132531809872432,0.193936501313684,90,0.1709548352460752,0.061175402124851674
23,0.7253682541669737,0.1849425500603387,90,0.16421818034542254,0.05876472112872443
