threshold,coverage_pooled,coverage_cell_mean,coverage_min_cell,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy
0.5,1.0,1.0,1.0,0.7171,0.6763,0.8229,0.752,0.764,0.7901
0.6,0.9322338910712309,0.9283297924008342,0.2,0.7157,0.6895,0.8464,0.7714,0.7833,0.8005
0.7,0.8579054861405377,0.8619546044205435,0.2,0.7156,0.6937,0.8698,0.7866,0.7992,0.8064
0.8,0.7716168291016259,0.7664346567032999,0.2,0.7311,0.7153,0.9065,0.8179,0.8297,0.8275
0.85,0.716782146279266,0.7108564804063503,0.17142857142857143,0.7343,0.7315,0.9287,0.8386,0.8502,0.8464
0.9,0.653419914411474,0.6361253064207729,0.021063717746182202,0.7326,0.7554,0.9472,0.8608,0.8711,0.8645
0.95,0.5347229061923795,0.5318428653892567,0.0,0.7531,0.8072,0.9739,0.8998,0.906,0.8938
0.97,0.4622482830758424,0.47596277421280375,0.0,0.7697,0.8349,0.9826,0.9166,0.9207,0.887
0.99,0.3335188642150631,0.37338604474499654,0.0,0.7725,0.8653,0.9906,0.9333,0.9353,0.9086
