variant,n_features,cell_balanced_acc,recall_compute,recall_memory,pooled_f1_macro,pooled_accuracy,mean_family_accuracy,sd_cell_bal
inter_only,12,0.7253,0.7112,0.8497,0.7832,0.7949,0.819,0.0089
inter_hist5,20,0.7451,0.6993,0.8762,0.793,0.8062,0.8622,0.0104
inter_hist20,20,0.7265,0.6607,0.9138,0.7964,0.8136,0.8685,0.0048
hist5_only_means,16,0.7466,0.6848,0.8889,0.7934,0.8081,0.8452,0.0025
