family,k,rep,cell_balanced_acc
dual_fft,23,0,0.935
dual_fft,23,1,0.97
dual_fft,23,2,0.9835
dual_gemm,3,0,0.8888888888888888
dual_gemm,3,1,0.501
dual_gemm,3,2,0.5
dual_gemm,6,0,0.5
dual_gemm,6,1,1.0
dual_gemm,6,2,0.94
dual_gemm,9,0,0.8888888888888888
dual_gemm,9,1,0.8888888888888888
dual_gemm,9,2,0.8888888888888888
dual_gemm,12,0,1.0
dual_gemm,12,1,0.4444444444444444
dual_gemm,12,2,0.8888888888888888
dual_gemm,15,0,0.535
dual_gemm,15,1,0.8888888888888888
dual_gemm,15,2,0.8888888888888888
dual_gemm,18,0,1.0
dual_gemm,18,1,1.0
dual_gemm,18,2,1.0
dual_gemm,21,0,0.8888888888888888
dual_gemm,21,1,0.5
dual_gemm,21,2,1.0
dual_gemm,23,0,1.0
dual_gemm,23,1,0.8888888888888888
dual_gemm,23,2,0.501
dual_spmv,3,0,0.3065
dual_spmv,3,1,0.8985000000000001
dual_spmv,3,2,0.877
dual_spmv,6,0,0.999
dual_spmv,6,1,0.5055000000000001
dual_spmv,6,2,1.0
dual_spmv,9,0,0.9944999999999999
dual_spmv,9,1,0.63
dual_spmv,9,2,0.998
dual_spmv,12,0,1.0
dual_spmv,12,1,0.929
dual_spmv,12,2,0.9755
dual_spmv,15,0,0.635
dual_spmv,15,1,0.9995
dual_spmv,15,2,0.972
dual_spmv,18,0,0.6970000000000001
dual_spmv,18,1,0.982
dual_spmv,18,2,0.862
dual_spmv,21,0,0.9984999999999999
dual_spmv,21,1,0.9259999999999999
dual_spmv,21,2,0.991
dual_spmv,23,0,0.9115
dual_spmv,23,1,0.9944999999999999
dual_spmv,23,2,0.9935
dual_stencil,3,0,0.635
dual_stencil,3,1,0.8185
dual_stencil,3,2,0.871
dual_stencil,6,0,0.495
dual_stencil,6,1,0.9445
dual_stencil,6,2,0.598
dual_stencil,9,0,0.882
dual_stencil,9,1,0.991
dual_stencil,9,2,0.909
dual_stencil,12,0,0.99
dual_stencil,12,1,0.988
dual_stencil,12,2,0.891
dual_stencil,15,0,0.846
dual_stencil,15,1,0.98
dual_stencil,15,2,0.9179999999999999
dual_stencil,18,0,0.975
dual_stencil,18,1,0.975
dual_stencil,18,2,0.975
dual_stencil,21,0,0.9884999999999999
dual_stencil,21,1,0.88
dual_stencil,21,2,0.9904999999999999
dual_stencil,23,0,0.991
dual_stencil,23,1,0.9019999999999999
dual_stencil,23,2,0.9935
gap_pr,3,0,0.779
gap_pr,3,1,0.618
gap_pr,3,2,0.997
gap_pr,6,0,0.953
gap_pr,6,1,0.995
gap_pr,6,2,0.238
gap_pr,9,0,0.963
gap_pr,9,1,0.909
gap_pr,9,2,0.378
gap_pr,12,0,0.659
gap_pr,12,1,0.603
gap_pr,12,2,0.59
gap_pr,15,0,0.973
gap_pr,15,1,0.779
gap_pr,15,2,0.702
gap_pr,18,0,0.457
gap_pr,18,1,0.91
gap_pr,18,2,0.986
gap_pr,21,0,0.39
gap_pr,21,1,0.411
gap_pr,21,2,0.889
gap_pr,23,0,0.421
gap_pr,23,1,0.432
gap_pr,23,2,0.882
hpccg_cpu_N46,3,0,0.6345
hpccg_cpu_N46,3,1,0.6645
hpccg_cpu_N46,3,2,0.584
hpccg_cpu_N46,6,0,0.611
hpccg_cpu_N46,6,1,0.5
hpccg_cpu_N46,6,2,0.7044999999999999
hpccg_cpu_N46,9,0,0.5495
hpccg_cpu_N46,9,1,0.5
hpccg_cpu_N46,9,2,0.5
hpccg_cpu_N46,12,0,0.5
hpccg_cpu_N46,12,1,0.5005
hpccg_cpu_N46,12,2,0.6185
hpccg_cpu_N46,15,0,0.667
hpccg_cpu_N46,15,1,0.7
hpccg_cpu_N46,15,2,0.6114999999999999
hpccg_cpu_N46,18,0,0.5
hpccg_cpu_N46,18,1,0.746
hpccg_cpu_N46,18,2,0.617
hpccg_cpu_N46,21,0,0.669
hpccg_cpu_N46,21,1,0.5485
hpccg_cpu_N46,21,2,0.508
hpccg_cpu_N46,23,0,0.81
hpccg_cpu_N46,23,1,0.5
hpccg_cpu_N46,23,2,0.831
npb_bt,3,0,0.40299999999999997
npb_bt,3,1,0.389
npb_bt,3,2,0.345
npb_bt,6,0,0.5075
npb_bt,6,1,0.5509999999999999
npb_bt,6,2,0.586
npb_bt,9,0,0.7010000000000001
npb_bt,9,1,0.506
npb_bt,9,2,0.5429999999999999
npb_bt,12,0,0.5015
npb_bt,12,1,0.535
npb_bt,12,2,0.5275000000000001
npb_bt,15,0,0.40349999999999997
npb_bt,15,1,0.536
npb_bt,15,2,0.507
npb_bt,18,0,0.6295
npb_bt,18,1,0.575
npb_bt,18,2,0.5795
npb_bt,21,0,0.5145
npb_bt,21,1,0.5615
npb_bt,21,2,0.5920000000000001
npb_bt,23,0,0.65
npb_bt,23,1,0.59
npb_bt,23,2,0.6000000000000001
npb_cg,3,0,0.966
npb_cg,3,1,0.993
npb_cg,3,2,0.927
npb_cg,6,0,0.971
npb_cg,6,1,0.463
npb_cg,6,2,0.948
npb_cg,9,0,0.504
npb_cg,9,1,0.747
npb_cg,9,2,0.992
npb_cg,12,0,0.981
npb_cg,12,1,0.733
npb_cg,12,2,0.215
npb_cg,15,0,0.959
npb_cg,15,1,0.932
npb_cg,15,2,0.947
npb_cg,18,0,0.599
npb_cg,18,1,0.858
npb_cg,18,2,0.96
npb_cg,21,0,0.732
npb_cg,21,1,0.979
npb_cg,21,2,0.917
npb_cg,23,0,0.837
npb_cg,23,1,0.883
npb_cg,23,2,0.924
npb_ft,3,0,0.5679158075601375
npb_ft,3,1,0.5295
npb_ft,3,2,0.5214123711340206
npb_ft,6,0,0.5303247422680413
npb_ft,6,1,0.5323487972508592
npb_ft,6,2,0.32462542955326457
npb_ft,9,0,0.5360670103092784
npb_ft,9,1,0.568106529209622
npb_ft,9,2,0.5586408934707904
npb_ft,12,0,0.5646975945017183
npb_ft,12,1,0.5679158075601375
npb_ft,12,2,0.5852079037800687
npb_ft,15,0,0.5894123711340207
npb_ft,15,1,0.5280670103092784
npb_ft,15,2,0.5437079037800687
npb_ft,18,0,0.5603384879725086
npb_ft,18,1,0.5619158075601375
npb_ft,18,2,0.5161838487972509
npb_ft,21,0,0.5347714776632303
npb_ft,21,1,0.5693848797250859
npb_ft,21,2,0.5575670103092784
npb_ft,23,0,0.5230154639175257
npb_ft,23,1,0.5654072164948454
npb_ft,23,2,0.5618384879725086
npb_lu,3,0,0.4945
npb_lu,3,1,0.5
npb_lu,3,2,0.4985
npb_lu,6,0,0.5105000000000001
npb_lu,6,1,0.7785
npb_lu,6,2,0.5075
npb_lu,9,0,0.534
npb_lu,9,1,0.6685
npb_lu,9,2,0.5
npb_lu,12,0,0.5015
npb_lu,12,1,0.4945
npb_lu,12,2,0.5685
npb_lu,15,0,0.6265000000000001
npb_lu,15,1,0.5055000000000001
npb_lu,15,2,0.542
npb_lu,18,0,0.608
npb_lu,18,1,0.5065
npb_lu,18,2,0.6134999999999999
npb_lu,21,0,0.5065000000000001
npb_lu,21,1,0.5820000000000001
npb_lu,21,2,0.51
npb_lu,23,0,0.6
npb_lu,23,1,0.5285
npb_lu,23,2,0.534
npb_mg,3,0,0.0
npb_mg,3,1,1.0
npb_mg,3,2,1.0
npb_mg,6,0,1.0
npb_mg,6,1,1.0
npb_mg,6,2,0.256
npb_mg,9,0,0.68
npb_mg,9,1,0.701
npb_mg,9,2,0.84
npb_mg,12,0,0.876
npb_mg,12,1,0.294
npb_mg,12,2,0.671
npb_mg,15,0,0.517
npb_mg,15,1,1.0
npb_mg,15,2,1.0
npb_mg,18,0,0.99
npb_mg,18,1,0.825
npb_mg,18,2,0.792
npb_mg,21,0,0.465
npb_mg,21,1,0.34
npb_mg,21,2,0.82
npb_mg,23,0,0.667
npb_mg,23,1,0.517
npb_mg,23,2,0.584
npb_sp,3,0,0.4545
npb_sp,3,1,0.5
npb_sp,3,2,0.5
npb_sp,6,0,0.7010000000000001
npb_sp,6,1,0.335
npb_sp,6,2,0.6942023121387283
npb_sp,9,0,0.36646242774566473
npb_sp,9,1,0.31944508670520233
npb_sp,9,2,0.354
npb_sp,12,0,0.3425
npb_sp,12,1,0.8251647398843931
npb_sp,12,2,0.783664739884393
npb_sp,15,0,0.8051647398843931
npb_sp,15,1,0.4345
npb_sp,15,2,0.492
npb_sp,18,0,0.3674450867052023
npb_sp,18,1,0.393
npb_sp,18,2,0.8092196531791908
npb_sp,21,0,0.7171473988439306
npb_sp,21,1,0.7942572254335261
npb_sp,21,2,0.35
npb_sp,23,0,0.7774393063583815
npb_sp,23,1,0.3738352601156069
npb_sp,23,2,0.7761589595375722
phasic,3,0,0.704
phasic,3,1,0.7015
phasic,3,2,0.5
phasic,6,0,0.6595
phasic,6,1,0.648
phasic,6,2,0.7565
phasic,9,0,0.6285000000000001
phasic,9,1,0.7205
phasic,9,2,0.6955
phasic,12,0,0.727
phasic,12,1,0.7205
phasic,12,2,0.503
phasic,15,0,0.77
phasic,15,1,0.5105
phasic,15,2,0.694
phasic,18,0,0.7075
phasic,18,1,0.5155
phasic,18,2,0.746
phasic,21,0,0.667
phasic,21,1,0.722
phasic,21,2,0.622
phasic,23,0,0.7145
phasic,23,1,0.741
phasic,23,2,0.545
rajaperf_apps_edge3d,3,0,0.6052727272727273
rajaperf_apps_edge3d,3,1,0.5135
